,importance,stddev,p_value,n,p99_high,p99_low
Diastolic Blood Pressure,0.104868914,0.031043245,0.000822908,5,0.168787384,0.040950444
BNP,0.059325843,0.036766743,0.011297768,5,0.135029075,-0.01637739
HBA1C,0.02082397,0.011240948,0.007174618,5,0.043969237,-0.002321297
Pre Vitamin D,0.020224719,0.00845812,0.002949153,5,0.037640104,0.002809334
Days from Pretransplant LHC to Transplant,0.011535581,0.019765915,0.130952491,5,0.052233873,-0.029162712
Urine Output (mL),0.008838951,0.013424759,0.107468228,5,0.036480716,-0.018802813
Ejection Fraction,0.007041199,0.001253423,0.000115573,5,0.009622014,0.004460383
Family history of CKD,0.004644195,0.000626712,3.88E-05,5,0.005934603,0.003353787
History of drug treated hypotension,0.004644195,0.002721483,0.009422741,5,0.010247767,-0.000959377
Pre Calcium,0.004644195,0.004599275,0.043440702,5,0.014114166,-0.004825777
Age,0.004494382,0.002852349,0.012188446,5,0.010367409,-0.001378645
Systolic Blood Pressure,0.004494382,0.007243101,0.118793921,5,0.019408027,-0.010419263
LA Volume,0.004044944,0.002518013,0.011460185,5,0.009229567,-0.00113968
Cause of ESKD (choice=Essential Hypertension),0.003595506,0.001938903,0.007150022,5,0.007587734,-0.000396723
LV Mass,0.003445693,0.004842915,0.093416073,5,0.013417322,-0.006525937
Systolic Blood pressure (rest),0.003445693,0.005151685,0.10454346,5,0.014053084,-0.007161698
RA area,0.00329588,0.002929979,0.032842053,5,0.009328747,-0.002736986
LAD Calcium Score,0.003146067,0.000334991,1.52E-05,5,0.003835819,0.002456315
LM Calcium Score,0.003146067,0.000334991,1.52E-05,5,0.003835819,0.002456315
Cause of ESKD (choice=Diabetes I),0.002996255,0,0.5,5,0.002996255,0.002996255
OSA,0.002846442,0.003151413,0.056769746,5,0.009335246,-0.003642362
Diastolic Blood pressure (rest),0.002696629,0.001880135,0.016338962,5,0.006567853,-0.001174595
"Stress Echo Time Point (initial transplant evaluation=0, surveillance on the waiting list=1, clinical evaluation=2)",0.002247191,0.001184374,0.0066178,5,0.004685833,-0.000191451
Pre eGFR,0.002247191,0.002308769,0.04756177,5,0.007000979,-0.002506597
"Dialysis Access (None=0, CVC=1, PD cath=2, AVF=3, AVG=4)",0.002097378,0.005359863,0.215484336,5,0.013133411,-0.008938654
LA max 4ch area,0.002097378,0.001865153,0.032871424,5,0.005937755,-0.001742999
