,importance,stddev,p_value,n,p99_high,p99_low
Diuretic Medications (choice=Furosemide),0.13039215686274513,0.09207338730881487,0.01698307222884125,5,0.31997253392104674,-0.0591882201955565
Pre HDL-C,0.04019607843137254,0.008768894029410952,0.00025536331528165326,5,0.0582513524369251,0.022140804425819977
Wall motion abnormalities,0.015686274509803956,0.008768894029410957,0.008065044950046259,5,0.03374154851535653,-0.002368999495748616
BMI,0.013725490196078438,0.020623219576433975,0.10546238344229043,5,0.05618898434714233,-0.028738003954985457
LA min 4ch area,0.012745098039215719,0.008904853982639694,0.016444466698256836,5,0.031080315467632513,-0.0055901193892010734
LCx (choice=Distal),0.012745098039215719,0.004384447014705482,0.0014450035585503668,5,0.021772735041992012,0.003717461036439426
Beta Blocker Medications (choice=Carvedilol),0.012745098039215707,0.02262349168473398,0.13813275932772937,5,0.05932718010796788,-0.03383698402953647
Mid LCx Degree of Stenosis %,0.00882352941176474,0.004101274639872925,0.004290459360962351,5,0.01726811058090265,0.00037894824262683403
Pre Vitamin D,0.006862745098039258,0.0065766705220582184,0.03997982327279045,5,0.020404200602203687,-0.006678710406125172
Which of the following vessel(s) are affected (select all that apply): (choice=LCx),0.006862745098039224,0.004384447014705482,0.012448081730111433,5,0.015890382100815517,-0.0021648919047370686
TR Peak Gradient,0.005882352941176494,0.006391374907061421,0.05435047566246126,5,0.01904228221300495,-0.007277576330651964
Urine Output (mL),0.00588235294117645,0.004101274639872904,0.01633896166840148,5,0.014326934110314314,-0.002562228227961415
LCx (choice=Mid),0.004901960784313719,0.004901960784313722,0.044504671250042885,5,0.014995165791513807,-0.005191244222886369
History of UTIs,0.003921568627451011,0.0021922235073527523,0.008065044950046271,5,0.008435387128839181,-0.0005922498739371592
History of Gout,0.003921568627450989,0.004101274639872928,0.04965034160686339,5,0.012366149796588904,-0.004523012541686926
LA min 4ch length,0.003921568627450989,0.005369828995148686,0.08890390417811016,5,0.014978120747386156,-0.007134983492484178
"Stress Echo Time Point (initial transplant evaluation=0, surveillance on the waiting list=1, clinical evaluation=2)",0.0039215686274509665,0.002192223507352727,0.008065044950046266,5,0.008435387128839084,-0.0005922498739371514
Distal LCx Degree of Stenosis %,0.0029411764705882582,0.0026849144975743646,0.035241998455109974,5,0.008469452530555886,-0.0025870995893793702
"Race (White=0, AA=1, Asian=2, Hispanic Latino=3, Other=4)",0.0029411764705882582,0.007434191611815267,0.21315860397018319,5,0.018248279750763454,-0.012365926809586938
Nitrates,0.0019607843137255053,0.0026849144975743646,0.08890390417811063,5,0.007489060373693134,-0.003567491746242123
Days from Pretransplant LHC to Transplant,0.0019607843137255053,0.010739657990297356,0.35199999999999865,5,0.024073888553595806,-0.020152319926144798
Obtuse Marginal 1 (choice=Proximal),0.0009803921568627416,0.002192223507352727,0.1869504831500295,5,0.0054942106582508594,-0.003533426344525376
Beta Blocker Medications (choice=Labetalol),0.0009803921568627416,0.002192223507352727,0.1869504831500295,5,0.0054942106582508594,-0.003533426344525376
Mid Obtuse Marginal 1 Degree of Stenosis %,0.0,0.0,0.5,5,0.0,0.0
Exercise Duration,0.0,0.0,0.5,5,0.0,0.0
"Distal Diagonal 1 Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0,0.0,0.5,5,0.0,0.0
Number of segments with Wall Motion Abnormalities,0.0,0.0,0.5,5,0.0,0.0
Obtuse Marginal 2 (choice=Proximal),0.0,0.0,0.5,5,0.0,0.0
Distal Obtuse Marginal 1 Degree of Stenosis %,0.0,0.0,0.5,5,0.0,0.0
Obtuse Marginal 1 (choice=Unspecified),0.0,0.0,0.5,5,0.0,0.0
Was an FFR or IFR collected (choice=neither).23,0.0,0.0,0.5,5,0.0,0.0
"BP response to exercise (hypotension=0, normal=1, hypertension=2, flat=3)",0.0,0.0,0.5,5,0.0,0.0
"Distal Obtuse Marginal 1 Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0,0.0,0.5,5,0.0,0.0
Which of the following vessel(s) are affected (select all that apply): (choice=Diagonal 2),0.0,0.0,0.5,5,0.0,0.0
Which of the following vessel(s) are affected (select all that apply): (choice=Diagonal 1),0.0,0.0,0.5,5,0.0,0.0
"Mid Obtuse Marginal 1 Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0,0.0,0.5,5,0.0,0.0
"Electrocardiogr (ECG) Changes (None=0, ST Depression=1, ST Elevation=2)",0.0,0.0,0.5,5,0.0,0.0
Was a Pre-Transplant Left Heart Cath Performed,0.0,0.0,0.5,5,0.0,0.0
Which of the following vessel(s) are affected (select all that apply): (choice=LAD),0.0,0.0,0.5,5,0.0,0.0
Was an FFR or IFR collected (choice=neither).21,0.0,0.0,0.5,5,0.0,0.0
Mid Diagonal 1 Degree of Stenosis %,0.0,0.0,0.5,5,0.0,0.0
"Proximal Obtuse Marginal 1 Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0,0.0,0.5,5,0.0,0.0
Was an FFR or IFR collected (choice=neither).14,0.0,0.0,0.5,5,0.0,0.0
"Distal LCx Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0,0.0,0.5,5,0.0,0.0
"Type (Exercise=0, Pharm=1)",0.0,0.0,0.5,5,0.0,0.0
Obtuse Marginal 1 (choice=Distal),0.0,0.0,0.5,5,0.0,0.0
LCX Calcium Score,0.0,0.0,0.5,5,0.0,0.0
LA min 2ch area,0.0,0.0,0.5,5,0.0,0.0
LAV min  ,0.0,0.0,0.5,5,0.0,0.0
LAV min index  ,0.0,0.0,0.5,5,0.0,0.0
Mean Right Atrial Pressure (RAP),0.0,0.0,0.5,5,0.0,0.0
Systolic Pulmonary Artery Pressure (PAP),0.0,0.0,0.5,5,0.0,0.0
Diastolic Pulmonary Artery Pressure (PAP),0.0,0.0,0.5,5,0.0,0.0
Mean Pulmonary Artery Pressure (PAP),0.0,0.0,0.5,5,0.0,0.0
Mean Pulmonary Capillary Wedge Pressure (PCWP),0.0,0.0,0.5,5,0.0,0.0
Cardiac Output,0.0,0.0,0.5,5,0.0,0.0
Cardiac Index,0.0,0.0,0.5,5,0.0,0.0
Mixed Venous Oxygen Saturation,0.0,0.0,0.5,5,0.0,0.0
Is the above value 0=0 or 1=1,0.0,0.0,0.5,5,0.0,0.0
Systemic Vascular Resistance,0.0,0.0,0.5,5,0.0,0.0
