,importance,stddev,p_value,n,p99_high,p99_low
BNP,0.327077224,0.038277004,2.21E-05,5,0.405890104,0.248264344
Diastolic Blood Pressure,0.034799609,0.008510576,0.00039706,5,0.052323003,0.017276215
Pre HDL-C,0.034213099,0.028238234,0.026791008,5,0.092356013,-0.023929816
Pre PTH,0.033626588,0.004404254,3.45E-05,5,0.042695009,0.024558168
Resting Heart Rate,0.016617791,0.00453256,0.000603068,5,0.025950395,0.007285186
Family history of CKD,0.008406647,0.008840992,0.050317867,5,0.026610373,-0.009797078
Days from Pretransplant to Transplant,0.00742913,0.003946555,0.006797175,5,0.015555141,-0.000696881
Pre Vitamin D,0.007233627,0.000874318,2.51E-05,5,0.009033859,0.005433394
Pre Triglycerides,0.007233627,0.000874318,2.51E-05,5,0.009033859,0.005433394
HBA1C,0.007038123,0.0027125,0.002194674,5,0.012623198,0.001453048
Pre Calcium,0.007038123,0.00304446,0.003327597,5,0.013306708,0.000769539
Systolic Blood pressure (peak),0.006647116,0.009411617,0.094711209,5,0.026025765,-0.012731533
Age,0.006451613,0.003497272,0.007276513,5,0.013652543,-0.000749317
IVSd (cm),0.006256109,0.002027023,0.001155921,5,0.010429777,0.002082442
History of Kidney Biopsy,0.006256109,0.004458164,0.017459853,5,0.015435531,-0.002923312
Anticoagulation Medication (choice=None),0.005865103,0.000977517,8.93E-05,5,0.007877824,0.003852381
Pre Total Cholesterol,0.005278592,0.002641106,0.005541296,5,0.010716666,-0.000159481
CCB Medication (choice=lodipine),0.005278592,0.001905532,0.001726807,5,0.009202108,0.001355076
Urine Output (mL),0.005278592,0.004006628,0.021069568,5,0.013528295,-0.00297111
Pericardial Effusion,0.005278592,0.00328597,0.011460185,5,0.01204445,-0.001487265
Residual Renal Function,0.005083089,0.001748636,0.001445004,5,0.008683554,0.001482624
Systolic Blood pressure (rest),0.005083089,0.003873238,0.021310415,5,0.01305814,-0.002891962
Days from Echo to Transplant,0.004692082,0.000817849,0.000106419,5,0.006376046,0.003008119
Systolic Blood Pressure,0.004496579,0.000874318,0.000163211,5,0.006296811,0.002696346
LV Mass,0.004301075,0.000535408,2.82E-05,5,0.005403488,0.003198662
Which of the following vessel(s) are affected (select all that apply): (choice=LAD),0.003714565,0.002119207,0.008628201,5,0.008078041,-0.000648911
Pre eGFR,0.003714565,0.002119207,0.008628201,5,0.008078041,-0.000648911
History of drug treated hypotension,0.003714565,0.001748636,0.004485451,5,0.00731503,0.0001141
Cause of ESKD (choice=Essential Hypertension),0.003714565,0.000817849,0.000264656,5,0.005398528,0.002030602
Beta Blocker Medications (choice=None),0.003323558,0.002027023,0.010730317,5,0.007497226,-0.000850109
Diastolic Blood pressure (rest),0.003323558,0.001114541,0.001314273,5,0.005618413,0.001028703
Peak Heart rate ,0.003323558,0.001114541,0.001314273,5,0.005618413,0.001028703
"Type (Exercise=0, Pharm=1)",0.003323558,0.00466758,0.093278288,5,0.01293417,-0.006287054
LVEDVI,0.003128055,0.00233379,0.020028693,5,0.007933361,-0.001677251
Proximal Obtuse Marginal 2 Degree of Stenosis %,0.003128055,0.005758231,0.145640112,5,0.014984333,-0.008728223
ACEi or ARB Medications (choice=None),0.002932551,0.002185795,0.019970984,5,0.007433133,-0.00156803
RA area,0.002932551,0.000691209,0.000344455,5,0.00435576,0.001509342
Are there notable LHC findings,0.002932551,0.00154559,0.0066178,5,0.006114943,-0.00024984
History of Prior Transplant,0.002932551,0,0.5,5,0.002932551,0.002932551
Anticoagulation Medication (choice=Apixaban),0.002541544,0.000874318,0.001445004,5,0.004341777,0.000741312
LA min 2ch area,0.002541544,0.002250413,0.032492955,5,0.007175177,-0.002092088
Proximal PDA Degree of Stenosis %,0.002541544,0.002899784,0.060789605,5,0.008512241,-0.003429152
OSA,0.002346041,0.000874318,0.001941269,5,0.004146274,0.000545808
Diuretic Medications (choice=None),0.002346041,0.001635699,0.016338962,5,0.005713968,-0.001021886
Wall motion abnormalities,0.002150538,0.000437159,0.000194086,5,0.003050654,0.001250421
Pre LDL-C,0.002150538,0.001606225,0.020093109,5,0.005457776,-0.001156701
Which of the following vessel(s) are affected (select all that apply): (choice=RCA),0.002150538,0.001070816,0.005449849,5,0.004355363,-5.43E-05
"MR severity (severe=0, moderate=1, mild=2, none or trace=3)",0.002150538,0.001274526,0.009777106,5,0.004774805,-0.00047373
Diuretic Medications (choice=Spironolactone),0.002150538,0.001070816,0.005449849,5,0.004355363,-5.43E-05
Diuretic Medications (choice=Furosemide),0.002150538,0.000817849,0.002090536,5,0.003834501,0.000466574
"Dialysis Access (None=0, CVC=1, PD cath=2, AVF=3, AVG=4)",0.001955034,0.003785907,0.15625,5,0.00975027,-0.005840202
LVPWd,0.001955034,0.0061436,0.258015181,5,0.014604791,-0.010694723
Beta Blocker Medications (choice=Carvedilol),0.001955034,0.000691209,0.001599101,5,0.003378243,0.000531825
"AR severity (severe=0, moderate=1, mild=2, none or trace=3)",0.001759531,0.001070816,0.010655821,5,0.003964356,-0.000445295
LAD (choice=Proximal),0.001759531,0.001606225,0.035241998,5,0.005066769,-0.001547708
Ejection Fraction,0.001759531,0.000817849,0.004290459,5,0.003443494,7.56E-05
History of UTIs,0.001759531,0.00253024,0.097464736,5,0.006969331,-0.003450269
CCB Medication (choice=None),0.001564027,0.001114541,0.017459853,5,0.003858883,-0.000730828
Systolic Blood Pressure Pre Transplant,0.001564027,0.001311477,0.028,5,0.004264376,-0.001136322
BMI,0.001564027,0.001482478,0.03887082,5,0.00461647,-0.001488416
Diastolic Blood Pressure Pre Transplant,0.001368524,0.000874318,0.012448082,5,0.003168757,-0.000431709
"Proximal LAD Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.001368524,0.002250413,0.122746018,5,0.006002156,-0.003265108
LA max 4ch area,0.001173021,0.000437159,0.001941269,5,0.002073137,0.000272904
Which of the following vessel(s) are affected (select all that apply): (choice=PDA),0.001173021,0.000437159,0.001941269,5,0.002073137,0.000272904
History of Kidney Stones,0.001173021,0.000437159,0.001941269,5,0.002073137,0.000272904
Distal LAD Degree of Stenosis %,0.001173021,0.001606225,0.088903904,5,0.004480259,-0.002134218
LA Volume,0.001173021,0.000817849,0.016338962,5,0.002856984,-0.000510943
Cause of ESKD (choice=Other),0.001173021,0.000817849,0.016338962,5,0.002856984,-0.000510943
Hydralazine  ,0.001173021,0.000437159,0.001941269,5,0.002073137,0.000272904
Cause of ESKD (choice=ADPKD),0.000977517,0.002492189,0.21498669,5,0.00610897,-0.004153935
Which of the following vessel(s) are affected (select all that apply): (choice=LCx),0.000977517,0.000691209,0.017054712,5,0.002400726,-0.000445692
"Proximal RCA Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.000977517,0.000691209,0.017054712,5,0.002400726,-0.000445692
Obtuse Marginal 2 (choice=Unspecified),0.000977517,0,0.5,5,0.000977517,0.000977517
Proximal Obtuse Marginal 1 Degree of Stenosis %,0.000977517,0,0.5,5,0.000977517,0.000977517
RVSP,0.000977517,0,0.5,5,0.000977517,0.000977517
Which of the following vessel(s) are affected (select all that apply): (choice=Obtuse marginal 1),0.000977517,0.001693109,0.133132314,5,0.004463653,-0.002508618
"Mid RCA degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.000977517,0.001197209,0.070963724,5,0.003442587,-0.001487553
