,importance,stddev,p_value,n,p99_high,p99_low
Aspirin ,0.2647058823529411,0.01834145777830363,2.748446336330263e-06,5,0.3024711974243551,0.22694056728152717
Target HR achieved,0.08137254901960786,0.048477393392455374,0.009944254969215824,5,0.18118817204345472,-0.018443074004238988
RCA Calcium Score,0.025490196078431282,0.002192223507352727,6.500652883360698e-06,5,0.0300040145798194,0.020976377577043164
LM Calcium Score,0.015686274509803866,0.002192223507352727,4.4608271190530465e-05,5,0.020200093011191984,0.011172456008415748
CCB Medication (choice=None),0.012745098039215686,0.00743419161181527,0.00928128225078033,5,0.028052201319390888,-0.0025620052409595154
LA max 2ch length,0.011764705882352965,0.04080716742797532,0.27712899735846963,5,0.09578722763154637,-0.07225781586684044
Family history of CKD,0.010784313725490203,0.03881535861731209,0.28404030005577435,5,0.09070567360380465,-0.06913704615282425
Is there obstructive CAD,0.009803921568627416,0.0,0.5,5,0.009803921568627416,0.009803921568627416
LCx (choice=Proximal),0.008823529411764697,0.009429109834152632,0.05226999988918795,5,0.028238196884432534,-0.010591138060903142
History of Gout,0.007843137254901933,0.007434191611815219,0.038870820473949894,5,0.02315024053507703,-0.0074639660252731645
"Mid LAD Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.007843137254901933,0.004384447014705454,0.008065044950046266,5,0.01687077425767817,-0.0011844997478743027
Resting Heart Rate,0.007843137254901933,0.007434191611815219,0.038870820473949894,5,0.02315024053507703,-0.0074639660252731645
Systolic Blood Pressure Pre Transplant,0.006862745098039214,0.018209976099026172,0.22341794831292805,5,0.04435733757455096,-0.030631847378472535
Was an FFR or IFR collected (choice=neither).9,0.006862745098039191,0.00820254927974581,0.06735096765948356,5,0.023751907436314924,-0.010026417240236542
Urine Output (mL),0.005882352941176472,0.012205783919596796,0.17092548098872792,5,0.031014230733488142,-0.019249524851135194
Systolic Blood pressure (peak),0.00588235294117645,0.004101274639872904,0.01633896166840148,5,0.014326934110314314,-0.002562228227961415
Obtuse Marginal 2 (choice=Proximal),0.00588235294117645,0.006391374907061397,0.05435047566246177,5,0.019042282213004857,-0.00727757633065196
