,importance,stddev,p_value,n,p99_high,p99_low
BNP,0.16040404,0.094427968,0.009565066,5,0.354832532,-0.034024451
Systolic Blood Pressure,0.011313131,0.008642121,0.021467516,5,0.029107378,-0.006481115
Pre Triglycerides,0.006464646,0.007745572,0.067706475,5,0.022412885,-0.009483592
Pre Total Cholesterol,0.006060606,0.001428499,0.000344455,5,0.009001904,0.003119308
Pre LDL-C,0.005656566,0.000903462,7.55E-05,5,0.007516806,0.003796325
Aspirin ,0.005656566,0.003319531,0.009467489,5,0.012491525,-0.001178394
Diastolic Blood Pressure,0.004444444,0.01624976,0.286932755,5,0.037902924,-0.029014035
CCB Medication (choice=Diltiazem),0.003636364,0.005229163,0.097464736,5,0.014403283,-0.007130556
ACEi or ARB Medications (choice=None),0.002828283,0.00110651,0.00231792,5,0.005106603,0.000549963
LA Volume,0.002828283,0.007504717,0.223417948,5,0.0182806,-0.012624034
Anticoagulation Medication (choice=Apixaban),0.002424242,0.002996444,0.072351999,5,0.008593962,-0.003745477
LVPWd,0.002424242,0.001690222,0.016338962,5,0.005904433,-0.001055949
Pre HDL-C,0.002424242,0.006910154,0.238310334,5,0.016652345,-0.01180386
Was a Pre-Transplant Left Heart Cath Performed,0.002020202,0,0.5,5,0.002020202,0.002020202
"AS severity (severe=0, moderate=1, mild=2, none or trace=3)",0.002020202,0,0.5,5,0.002020202,0.002020202
Are there notable LHC findings,0.002020202,0,0.5,5,0.002020202,0.002020202
Was there intervention,0.001616162,0.001690222,0.049650342,5,0.005096353,-0.001864029
Number of Hypoperfused Segments at Rest,0.001616162,0.000903462,0.008065045,5,0.003476402,-0.000244079
Cause of ESKD (choice=Unknown),0.001212121,0.00110651,0.035241998,5,0.003490441,-0.001066199
Was an FFR or IFR collected (choice=FFR),0.001212121,0.00110651,0.035241998,5,0.003490441,-0.001066199
Which of the following vessel(s) are affected (select all that apply): (choice=Diagonal 2),0.001212121,0.00110651,0.035241998,5,0.003490441,-0.001066199
Cause of ESKD (choice=ADPKD),0.001212121,0.00110651,0.035241998,5,0.003490441,-0.001066199
Was an FFR or IFR collected (choice=neither).6,0.001212121,0.001806924,0.104,5,0.004932602,-0.002508359
Was an FFR or IFR collected (choice=neither).2,0.000808081,0.00110651,0.088903904,5,0.003086401,-0.001470239
Cause of ESKD (choice=Diabetes II),0.000808081,0.00110651,0.088903904,5,0.003086401,-0.001470239
Which of the following vessel(s) are affected (select all that apply): (choice=LAD),0.000808081,0.00110651,0.088903904,5,0.003086401,-0.001470239
Cause of ESKD (choice=Essential Hypertension),0.000808081,0.00110651,0.088903904,5,0.003086401,-0.001470239
Was an FFR or IFR collected (choice=neither).5,0.000808081,0.00110651,0.088903904,5,0.003086401,-0.001470239
Which of the following vessel(s) are affected (select all that apply): (choice=Diagonal 1),0.000808081,0.00110651,0.088903904,5,0.003086401,-0.001470239
HBA1C,0.000808081,0.00110651,0.088903904,5,0.003086401,-0.001470239
"Distal LAD Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.00040404,0.000903462,0.186950483,5,0.002264281,-0.0014562
Days from Echo to Transplant,0.00040404,0.001690222,0.310654148,5,0.003884231,-0.003076151
Pericardial Effusion,0.00040404,0.000903462,0.186950483,5,0.002264281,-0.0014562
METs,0.00040404,0.000903462,0.186950483,5,0.002264281,-0.0014562
Diuretic Medications (choice=Hydrochlorothiazide),0.00040404,0.000903462,0.186950483,5,0.002264281,-0.0014562
History of Kidney Stones,0.00040404,0.000903462,0.186950483,5,0.002264281,-0.0014562
Family history of CKD,0.00040404,0.003885936,0.41378236,5,0.008405237,-0.007597156
LA min 4ch area,0.00040404,0.000903462,0.186950483,5,0.002264281,-0.0014562
CCB Medication (choice=Nifedipine),0.00040404,0.000903462,0.186950483,5,0.002264281,-0.0014562
Diuretic Medications (choice=None),0.00040404,0.006608253,0.448929726,5,0.014010526,-0.013202445
Beta Blocker Medications (choice=Carvedilol),0.00040404,0.000903462,0.186950483,5,0.002264281,-0.0014562
