,importance,stddev,p_value,n,p99_high,p99_low
Nitrates,0.04488448844884489,0.0018076652062876683,3.150137330491069e-07,5,0.048606496093179484,0.0411624808045103
BNP,0.04356435643564356,0.03823258206620353,0.03172323693028002,5,0.12228577134039754,-0.03515705846911042
Pre PTH,0.025742574257425755,0.014271781062996482,0.00784543805509329,5,0.05512836872311248,-0.0036432202082609666
LAD Calcium Score,0.023102310231023104,0.0,0.5,5,0.023102310231023104,0.023102310231023104
"Distal RCA Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.021782178217821812,0.004427857381187711,0.0001940856692470075,5,0.03089919776518004,0.012665158670463583
Pre LDL-C,0.019141914191419186,0.008542692478907469,0.003717687006961744,5,0.036731436078047394,0.0015523923047909768
LCX Calcium Score,0.017161716171617148,0.0014759524603959186,6.500652883361021e-06,5,0.020200722687403257,0.014122709655831041
Age,0.01584158415841589,0.007525910396693964,0.004630848379757125,5,0.03133753768434465,0.0003456306324871299
Anticoagulation Medication (choice=Apixaban),0.015841584158415876,0.003615330412575337,0.00030409247223165986,5,0.023285599447085064,0.008397568869746689
Pre HDL-C,0.015181518151815222,0.00891700071690187,0.009494615746255725,5,0.033541745873963545,-0.003178709570333102
Diastolic Blood pressure (rest),0.01452145214521453,0.013118552418714036,0.03428179624100995,5,0.041532732893009947,-0.012489828602580884
CCB Medication (choice=lodipine),0.011221122112211268,0.011094215388760126,0.043261389973005424,5,0.03406426493602044,-0.011622020711597902
BMI,0.009900990099009955,0.00404206228182043,0.0027042394323812426,5,0.018223652204516015,0.0015783279935038946
LM Calcium Score,0.00990099009900991,0.0,0.5,5,0.00990099009900991,0.00990099009900991
Urine Output (mL),0.009240924092409276,0.007879429957962595,0.029324531554609602,5,0.02546477928114974,-0.006982931096331187
TR Peak Gradient,0.009240924092409253,0.007154945012765291,0.02232672488441878,5,0.023973054765542387,-0.005491206580723881
LA max 4ch area,0.008580858085808652,0.0018076652062876686,0.00022297683237038667,5,0.012302865730143246,0.004858850441474058
Total Calcium Score,0.008580858085808597,0.0029519049207917874,0.0014450035585503317,5,0.014658871117380708,0.002502845054236485
History of UTIs,0.00792079207920795,0.005995347235836609,0.020897340228022317,5,0.02026529490230041,-0.00442371074388451
Distal RCA Degree of Stenosis %,0.007260726072607327,0.001475952460395869,0.00019408566924698393,5,0.010299732588393331,0.004221719556821322
Obtuse Marginal 1 (choice=Distal),0.007260726072607304,0.009450706972459632,0.0804715053485153,5,0.026719862351553426,-0.012198410206338817
"Electrocardiogr (ECG) Changes (None=0, ST Depression=1, ST Elevation=2)",0.007260726072607293,0.006348311571508663,0.03140380550034979,5,0.02033198734133407,-0.0058105351961194865
Diastolic Blood pressure (peak),0.007260726072607293,0.004895180519535085,0.014735658139317086,5,0.01733997042091495,-0.0028185182757003635
"Dialysis Access (None=0, CVC=1, PD cath=2, AVF=3, AVG=4)",0.007260726072607282,0.013076972116276498,0.14111896330197338,5,0.03418639240298295,-0.01966494025776839
"RV Function (severely reduced=0, mildly reduced=2, normal=3)",0.007260726072607282,0.016402341438665563,0.1891454119882697,5,0.04103337379927044,-0.026511921654055873
Which of the following vessel(s) are affected (select all that apply): (choice=LAD),0.006600660066006636,0.00404206228182043,0.010871489232618155,5,0.014923322171512696,-0.001722002039499424
RCA (choice=Distal),0.006600660066006625,0.011432678597814402,0.1331323139831548,5,0.030140703315317242,-0.016939383183303992
RCA (choice=Mid),0.00594059405940599,0.006348311571508689,0.05226999988918655,5,0.019011855328132824,-0.007130667209320845
"Stress Echo Time Point (initial transplant evaluation=0, surveillance on the waiting list=1, clinical evaluation=2)",0.005940594059405946,0.004303103897823527,0.01834099470022045,5,0.01480074446024094,-0.0029195563414290485
Number of Hypoperfused Segments with Stress,0.005940594059405923,0.003615330412575352,0.010655820564378441,5,0.013384609348075144,-0.0015034212292632963
Which of the following vessel(s) are affected (select all that apply): (choice=RCA),0.005280528052805322,0.007948247246727587,0.10578949730003546,5,0.021646078990268915,-0.01108502288465827
LA Volume,0.0052805280528053,0.005005198312905323,0.0388708204739497,5,0.015586300558269778,-0.005025244452659179
"Echo Timepoint (initial transplant evaluation=0, surveillance on the waiting list=1, clinical evaluation=2)",0.005280528052805278,0.007230660825150705,0.08890390417811063,5,0.020168558630143718,-0.00960750252453316
Resting Heart Rate,0.004620462046204632,0.003762955198346982,0.02580297890558703,5,0.012368438809169012,-0.0031275147167597484
Is there obstructive CAD,0.003960396039604008,0.0014759524603959186,0.001941268523480256,5,0.006999402555390115,0.0009213895238179013
LA min 2ch area,0.0039603960396039865,0.0071549450127653055,0.14175553211382047,5,0.01869252671273715,-0.010771734633529179
Pre Total Cholesterol,0.0033003300330033624,0.0033003300330033125,0.04450467125004116,5,0.010095755186365829,-0.0034950951203591035
METs,0.0033003300330033403,0.002333685746490284,0.017054711583704807,5,0.008105421239991615,-0.0015047611739849344
LA max 4ch length,0.0033003300330033403,0.0,0.5,5,0.0033003300330033403,0.0033003300330033403
Anticoagulation Medication (choice=None),0.003300330033003318,0.008084124563640887,0.20647718327557402,5,0.019945654244015495,-0.013344994178008858
HBA1C,0.003300330033003318,0.00808412456364086,0.20647718327557327,5,0.01994565424401544,-0.013344994178008803
Diagonal 2 (choice=Unspecified),0.003300330033003318,0.005218279967274529,0.11509982054024737,5,0.014044840609915432,-0.007444180543908796
LA min 2ch length,0.003300330033003307,0.00466737149298051,0.0945018292275872,5,0.012910512446979737,-0.006309852380973122
"MR severity (severe=0, moderate=1, mild=2, none or trace=3)",0.003300330033003296,0.0033003300330032848,0.04450467125004244,5,0.010095755186365706,-0.0034950951203591134
LA min 4ch area,0.0026402640264026832,0.004895180519535096,0.14712818401220984,5,0.012719508374710363,-0.007438980321904995
History of drug treated hypotension,0.0026402640264026832,0.006348311571508693,0.20251165715452674,5,0.015711525295129525,-0.010430997242324158
History of Prior Transplant,0.0026402640264026724,0.005903809841583566,0.18695048315002546,5,0.014796290089546877,-0.00951576203674153
RA area,0.002640264026402661,0.008855714762375377,0.27073486963779025,5,0.020874303121119025,-0.015593775068313703
RVSP,0.0019801980198020154,0.0037629551983469917,0.15227939234026383,5,0.009728174782766413,-0.0057677787431623835
Mid LAD Degree of Stenosis %,0.001980198019802004,0.0029519049207918373,0.10399999999999993,5,0.008058211051374218,-0.004097815011770209
