,importance,stddev,p_value,n,p99_high,p99_low
BNP,0.017187500000000088,0.007779879815775854,0.0039084582705825035,5,0.03320638007004886,0.0011686199299513096
Days from Pretransplant to Transplant,0.013020833333333436,0.0033196741624952775,0.0004658823119888814,5,0.01985608831668414,0.006185578349982732
BMI,0.01250000000000009,0.007400141790824431,0.00974252620237897,5,0.027736994228136615,-0.0027369942281364364
Days from Echo to Transplant,0.011979166666666718,0.006135009890307173,0.006002201260903471,5,0.024611236825657093,-0.0006529034923236574
Urine Output (mL),0.008854166666666764,0.015527036651837332,0.1356502736895475,5,0.04082454973925277,-0.023116216405919248
Aspirin ,0.008593750000000067,0.002997620946151437,0.0015212242485969365,5,0.014765892959650317,0.0024216070403498173
Diastolic Blood pressure (rest),0.007291666666666785,0.006987712429686878,0.03997982327278974,5,0.021679463139841534,-0.007096129806507964
ACEi or ARB Medications (choice=None),0.007031250000000089,0.0027000574678812234,0.00216589748114638,5,0.01259070564512763,0.0014717943548725465
"Dialysis Access (None=0, CVC=1, PD cath=2, AVF=3, AVG=4)",0.006250000000000089,0.0031086813506024254,0.005429495863234413,5,0.012650817867432839,-0.0001508178674326623
Diuretic Medications (choice=Furosemide),0.006250000000000045,0.004453810254293544,0.01745985333726956,5,0.01542045687179001,-0.0029204568717899207
TR Peak Gradient,0.0049479166666667185,0.009452443444209162,0.1533923282560031,5,0.024410628364945716,-0.01451479503161228
Nitrates,0.0049479166666667185,0.0032421613536429044,0.013482659868526177,5,0.011623571705249516,-0.001727738371916079
Resting Heart Rate,0.004947916666666696,0.006135009890307146,0.07283050793544094,5,0.017579986825657017,-0.0076841534923236254
LV Mass,0.004947916666666696,0.012935921048978944,0.22029971683172583,5,0.03158315689994377,-0.021687323566610378
Age,0.004687500000000067,0.0011646187382811674,0.0004219162588006535,5,0.007085466078862568,0.0022895339211375654
Diuretic Medications (choice=None),0.004687500000000067,0.001484603418097849,0.0010614415269197123,5,0.00774431895726339,0.0016306810427367427
Is there obstructive CAD,0.004427083333333415,0.0049238725003095994,0.05736922817727377,5,0.014565404866621114,-0.0057112381999542845
METs,0.0044270833333333705,0.002178802152432461,0.005234834644807227,5,0.008913267079437822,-5.9100412771080635e-05
