,model,score_test,accuracy,roc_auc,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,RandomForestEntr_BAG_L1,0.65375,0.9615384615384616,0.65375,0.6007462686567165,0.04797697067260742,0.0520014762878418,0.2575852870941162,0.04797697067260742,0.0520014762878418,0.2575852870941162,1,True,6
1,CatBoost_BAG_L1,0.6025,0.9615384615384616,0.6025,0.6662520729684909,0.03200078010559082,0.03599739074707031,9.92998218536377,0.03200078010559082,0.03599739074707031,9.92998218536377,1,True,7
2,NeuralNetTorch_BAG_L1,0.585,0.9615384615384616,0.585,0.5578358208955224,0.18308043479919434,0.1514601707458496,2.5071017742156982,0.18308043479919434,0.1514601707458496,2.5071017742156982,1,True,11
3,RandomForestGini_BAG_L1,0.5625,0.9615384615384616,0.5625,0.5505804311774462,0.05402255058288574,0.04499983787536621,0.2589998245239258,0.05402255058288574,0.04499983787536621,0.2589998245239258,1,True,5
4,XGBoost_BAG_L1,0.54,0.9615384615384616,0.54,0.548818407960199,0.11199951171875,0.02500295639038086,0.9759981632232666,0.11199951171875,0.02500295639038086,0.9759981632232666,1,True,10
5,ExtraTreesGini_BAG_L1,0.5025000000000001,0.9615384615384616,0.5025000000000001,0.5896558872305141,0.04347038269042969,0.04199981689453125,0.2416553497314453,0.04347038269042969,0.04199981689453125,0.2416553497314453,1,True,8
6,LightGBM_BAG_L1,0.48500000000000004,0.9615384615384616,0.48500000000000004,0.5416666666666667,0.05299973487854004,0.023002147674560547,0.8899977207183838,0.05299973487854004,0.023002147674560547,0.8899977207183838,1,True,4
7,WeightedEnsemble_L2,0.485,0.9615384615384616,0.485,0.7269900497512437,0.2680830955505371,0.2264573574066162,14.658150434494019,0.002000093460083008,0.0009999275207519531,0.15107202529907227,2,True,13
8,LightGBMXT_BAG_L1,0.45249999999999996,0.9615384615384616,0.45249999999999996,0.5888266998341625,0.02500009536743164,0.02000117301940918,0.8529973030090332,0.02500009536743164,0.02000117301940918,0.8529973030090332,1,True,3
9,KNeighborsUnif_BAG_L1,0.44,0.9615384615384616,0.44,0.4818615257048093,0.019001007080078125,0.0149993896484375,0.007999420166015625,0.019001007080078125,0.0149993896484375,0.007999420166015625,1,True,1
10,KNeighborsDist_BAG_L1,0.44,0.9615384615384616,0.44,0.48030679933665005,0.02199840545654297,0.017999887466430664,0.01699972152709961,0.02199840545654297,0.017999887466430664,0.01699972152709961,1,True,2
11,ExtraTreesEntr_BAG_L1,0.41625,0.9615384615384616,0.41625,0.5648839137645107,0.032001495361328125,0.04500102996826172,0.2587735652923584,0.032001495361328125,0.04500102996826172,0.2587735652923584,1,True,9
12,LightGBMLarge_BAG_L1,0.4125,0.9615384615384616,0.4125,0.6287313432835822,0.026001691818237305,0.017998695373535156,1.2169971466064453,0.026001691818237305,0.017998695373535156,1.2169971466064453,1,True,12
