,importance,stddev,p_value,n,p99_high,p99_low
Most Recent Hemoglobin,0.13096872616323427,0.04237839643060712,0.0011501863676657005,5,0.21822643014553922,0.04371102218092933
Pre Vitamin D,0.013119755911518038,0.00245099451000144,0.00013960583994095013,5,0.0181663874839552,0.008073124339080875
Was a Post-Transplant Left Heart Cath Performed ,0.006559877955759097,0.0018954650861615805,0.0007509274475997724,5,0.010462666766277379,0.002657089145240816
Most Recent Calcium,0.0062547673531656136,0.007087051714228558,0.05984644503022124,5,0.020847104786226502,-0.008337570079895277
Most Recent Urine Protein,0.00564454614797878,0.007724406856282393,0.0887999262300181,5,0.02154920662771274,-0.010260114331755183
Days from Transplant to LHC Post-transplant,0.004576659038901721,0.0021234799248016946,0.004263632354371302,5,0.00894893355367998,0.0002043845241234618
Post Vitamin D,0.004576659038901721,0.0019633161977473295,0.0032303479830653216,5,0.008619154225977083,0.0005341638518263584
HBA1C,0.004118993135011606,0.0019890777742799706,0.004901909840273933,5,0.008214531764230502,2.345450579270894e-05
Most Recent Urine Creatinine ,0.002974828375286154,0.00715242803517096,0.20250215968614463,5,0.01770177655676423,-0.011752119806191924
Most Recent eGFR,0.0028985507246377827,0.008075170151171162,0.23358437252971445,5,0.019525437676611666,-0.013728336227336099
Diastolic Blood Pressure,0.0025934401220443657,0.010508613332902804,0.3052175441214804,5,0.024230820218962758,-0.019043939974874025
BNP,0.002517162471395995,0.01281089898382356,0.3415480617138057,5,0.02889498054452956,-0.02386065560173757
Most Recent Total Cholesterol,0.0024408848207475796,0.0010651594236284418,0.003433276439054478,5,0.004634062796066303,0.0002477068454288566
Antiplatelet (choice=Clopidogrel),0.002212051868802489,0.0017766307702291322,0.02480534371980984,5,0.005870159180351067,-0.0014460554427460884
Was an FFR or IFR collected (choice=neither).6,0.0020594965675058362,0.00043484951376775654,0.00022496173779944543,5,0.002954857726612643,0.0011641354083990296
Post HDL-C,0.0019832189168574655,0.0014869251479494654,0.02032104436024468,5,0.005044818347974984,-0.0010783805142600533
LVESVI,0.001983218916857421,0.001385652335971421,0.016444466698256416,5,0.004836296228373133,-0.0008698583946582916
Most Recent LDL-C,0.0018306636155607237,0.0018761821321508969,0.04727608936727793,5,0.00569374855725226,-0.0020324213261308124
"RV Function (severely reduced=0, mildly reduced=2, normal=3)",0.0015255530129673067,0.000603027776538573,0.0024063391650212215,5,0.0027671955395898395,0.000283910486344774
Pre eGFR,0.0014492753623189137,0.0011878269643323819,0.026269085819134164,5,0.003895027499392638,-0.000996476774754811
Which of the following vessel(s) are affected (select all that apply): (choice=LAD).1,0.0014492753623189137,0.0008268300300792573,0.00862820124270434,5,0.0031517298222575843,-0.000253179097619757
Are there notable LHC findings.1,0.0014492753623188692,0.0006266848484040748,0.003323365605697678,5,0.002739628126887951,0.0001589225977497873
Beta Blocker Medications (choice=None),0.0013729977116705872,0.0006928261679856785,0.005705285834931469,5,0.0027995363674283777,-5.354094408720309e-05
Post Total Cholesterol,0.0013729977116705872,0.0022978444441482866,0.12623319972037936,5,0.006104291181757246,-0.003358295758416072
LM Calcium Score,0.0013729977116704983,0.0005784039240313793,0.0030273672305946033,5,0.0025639393856429094,0.00018205603769808716
Are there notable LHC findings,0.0012967200610221941,0.002200844858314814,0.12903773775347677,5,0.005828290043200983,-0.003234849921156594
Systolic Blood Pressure,0.0012204424103738677,0.0009871990164412466,0.025310881274623557,5,0.003253098829766819,-0.0008122140090190836
Days from Echo to Transplant,0.0012204424103738453,0.0005656901973375812,0.00424856885584036,5,0.002385206345361349,5.56784753863416e-05
Cause of ESKD (choice=Essential Hypertension),0.0012204424103738453,0.0018370090890606218,0.10578949730002529,5,0.005002869514913511,-0.002561984694165821
Most Recent PTH,0.0012204424103738453,0.0027555136335909525,0.18902653614695186,5,0.006894083067183385,-0.004453198246435694
Beta Blocker Medications (choice=Carvedilol),0.0010678871090770814,0.000497269443570003,0.004317896303775398,5,0.002091771766381827,4.400245177233592e-05
LCx (choice=Distal),0.0009916094584287104,0.00034112402402747646,0.0014450035585509677,5,0.0016939885387363461,0.00028923037812107473
LAD (choice=Distal).1,0.0009916094584287104,0.0005784039240314012,0.009281282250779788,5,0.002182551132401167,-0.0001993322155437458
Peak Heart rate ,0.0009153318077804063,0.0007434625739747669,0.02560846041222273,5,0.0024461315233392364,-0.0006154679077784236
"Race (White=0, AA=1, Asian=2, Hispanic Latino=3, Other=4)",0.0008390541571320576,0.0005656901973375885,0.014735658139312801,5,0.0020038180921195764,-0.0003257097778554611
Mid RCA Degree of Stenosis %.1,0.0008390541571320353,0.0004972694435700329,0.009777106360151812,5,0.0018629388144368424,-0.00018483050017277167
Which of the following vessel(s) are affected (select all that apply): (choice=RCA).1,0.0008390541571320131,0.00031909230607706825,0.002090536067819647,5,0.0014960696256690557,0.00018203868859497068
Obtuse Marginal 2 (choice=Mid),0.0008390541571320131,0.0004972694435700157,0.009777106360151559,5,0.0018629388144367847,-0.00018483050017275855
Posterior Descending Artery (choice=Distal),0.0008390541571319909,0.00031909230607707486,0.002090536067820007,5,0.001496069625669047,0.0001820386885949347
LAD (choice=Mid).1,0.0008390541571319909,0.00031909230607707486,0.002090536067820007,5,0.001496069625669047,0.0001820386885949347
RCA (choice=Proximal).1,0.0008390541571319688,0.0001705620120137382,0.00019408566924710683,5,0.0011902436972857865,0.000487864616978151
Age,0.0007627765064837089,0.0008944347368085025,0.06460149231969563,5,0.0026044299919742416,-0.0010788769790068236
Cardiac Index,0.0007627765064836866,0.0007135120874855087,0.03756522731260555,5,0.0022319077564014185,-0.0007063547434340453
Obtuse Marginal 2 (choice=Proximal),0.0007627765064836201,0.0002696822201321683,0.001599101076167481,5,0.0013180559251401514,0.00020749708782708876
Diagonal 1 (choice=Mid).1,0.0007627765064836201,0.0002696822201321683,0.001599101076167481,5,0.0013180559251401514,0.00020749708782708876
Was an FFR or IFR collected (choice=neither).3,0.0007627765064836201,0.0002696822201321683,0.001599101076167481,5,0.0013180559251401514,0.00020749708782708876
Pericardial Effusion,0.0006864988558353379,0.0011249337302633678,0.12205522196858332,5,0.0030027529546840896,-0.0016297552430134135
LA max 4ch area,0.0006864988558353379,0.0008268300300792727,0.06847256167287093,5,0.0023889533157740402,-0.0010159556041033644
Cardiac Output,0.0006864988558353158,0.0004972694435700201,0.01834099470021713,5,0.0017103835131400964,-0.00033738580146946474
RCA (choice=Proximal),0.0006864988558353158,0.00017056201201372581,0.00042191625880057336,5,0.0010376883959891082,0.0003353093156815235
Post PTH,0.0006102212051869893,0.003058248695153239,0.3392812162183482,5,0.0069071975379964914,-0.005686755127622513
History of Gout,0.0006102212051869893,0.0021337300885887448,0.2786460438869901,5,0.005003600948875104,-0.0037831585385011256
"Mid RCA degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2).1",0.0006102212051869449,0.000341124024027433,0.008065044950043822,5,0.001312600285494491,-9.215787512060125e-05
Was an FFR or IFR collected (choice=neither).7,0.0006102212051869004,0.00020889494946799565,0.001418922963366266,5,0.0010403387933765342,0.0001801036169972668
Obtuse Marginal 2 (choice=Unspecified),0.0006102212051869004,0.00020889494946799565,0.001418922963366266,5,0.0010403387933765342,0.0001801036169972668
Was a Right Heart Cath Performed,0.0006102212051869004,0.00020889494946799565,0.001418922963366266,5,0.0010403387933765342,0.0001801036169972668
Days from Pretransplant LHC to Transplant,0.0005339435545386184,0.0023602972458834017,0.3197860319552869,5,0.005393828206587331,-0.004325941097510094
Which of the following vessel(s) are affected (select all that apply): (choice=LCx).1,0.0005339435545385962,0.00034112402402747646,0.01244808173011138,5,0.0012363226348462318,-0.0001684355257690395
CCB Medication (choice=lodipine),0.0005339435545385962,0.0006381846121540966,0.06735096765945324,5,0.0018479744916125992,-0.0007800873825354067
Mean Right Atrial Pressure (RAP),0.000533943554538574,0.00020889494946802606,0.00231791970895133,5,0.0009640611427282703,0.00010382596634887764
LAD (choice=Distal),0.000533943554538574,0.0003411240240274268,0.012448081730107275,5,0.0012363226348461073,-0.0001684355257689595
Obtuse Marginal 1 (choice=Mid),0.000533943554538574,0.00043484951376781015,0.025802978905583872,5,0.0014293047136454907,-0.0003614176045683428
Was an FFR or IFR collected (choice=FFR),0.000533943554538574,0.0009945388871399996,0.14809051466805256,5,0.002581712869148052,-0.001513825760070904
Was an FFR or IFR collected (choice=neither).1,0.000533943554538574,0.0016315217113811874,0.25243053208207633,5,0.0038932693082989016,-0.0028253821992217532
Obtuse Marginal 1 (choice=Distal),0.0005339435545385518,0.00020889494946799565,0.002317919708950453,5,0.0009640611427281855,0.00010382596634891819
Days Between Transplant to Nuc Stress Test,0.00045766590389024754,0.0007336149527716147,0.11774818012968838,5,0.0019681892312831974,-0.0010528574235027024
Diagonal 1 (choice=Proximal),0.00045766590389024754,0.001247553564744206,0.22905605007673868,5,0.003026395936721264,-0.0021110641289407684
Diuretic Medications (choice=Furosemide),0.00045766590389024754,0.00017056201201366374,0.001941268523476803,5,0.000808855444043912,0.00010647636373658305
LCx (choice=Mid),0.00045766590389024754,0.0006266848484041492,0.0889039041780968,5,0.0017480186684594827,-0.0008326868606789877
Was an FFR or IFR collected (choice=neither).9,0.0004576659038902253,0.0003190923060770483,0.01633896166839111,5,0.0011146813724272268,-0.00019934956464677615
Is the above value 0=0 or 1=1,0.0004576659038902253,0.00017056201201373823,0.001941268523480256,5,0.0008088554440440431,0.00010647636373640746
Anticoagulation Medication (choice=None),0.0004576659038902253,0.0004177898989360369,0.03524199845509304,5,0.0013179010802695866,-0.0004025692724891359
ACEi or ARB Medications (choice=None),0.0004576659038902253,0.0007336149527716319,0.11774818012970237,5,0.001968189231283211,-0.0010528574235027601
"Distal LAD Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0004576659038902253,0.0001705620120137382,0.0019412685234802545,5,0.0008088554440440431,0.00010647636373640752
Mean Pulmonary Artery Pressure (PAP),0.00045766590389020314,0.00017056201201368854,0.0019412685234785287,5,0.0008088554440439186,0.00010647636373648759
Was an FFR or IFR collected (choice=neither).21,0.00045766590389020314,0.00017056201201368854,0.0019412685234785287,5,0.0008088554440439186,0.00010647636373648759
Was an FFR or IFR collected (choice=neither).15,0.00045766590389020314,0.00017056201201368854,0.0019412685234785287,5,0.0008088554440439186,0.00010647636373648759
Exercise Duration,0.00045766590389020314,0.0008696990275355789,0.15227939234024884,5,0.0022483882221039516,-0.001333056414323545
Mixed Venous Oxygen Saturation,0.00045766590389020314,0.00017056201201368854,0.0019412685234785287,5,0.0008088554440439186,0.00010647636373648759
RCA (choice=Distal).1,0.00045766590389020314,0.0006822480480548163,0.10399999999997192,5,0.0018624240645051934,-0.000947092256724787
Pulmonary Vascular Resistance,0.00045766590389020314,0.00017056201201368854,0.0019412685234785287,5,0.0008088554440439186,0.00010647636373648759
Diagonal 2 (choice=Proximal),0.00045766590389020314,0.00017056201201368854,0.0019412685234785287,5,0.0008088554440439186,0.00010647636373648759
Systolic Blood pressure (peak),0.00038138825324189883,0.0012649217354520766,0.2685702239030299,5,0.00298587958961405,-0.002223103083130253
"Test Time Point (initial transplant evaluation=0, surveillance on the waiting list=1, clinical evaluation=2)",0.00038138825324189883,0.000713512087485479,0.14900740586554614,5,0.0018505195031595695,-0.0010877429966757717
Was an FFR or IFR collected (choice=neither).26,0.00038138825324187666,0.0002696822201321683,0.017054711583694263,5,0.000936667671898408,-0.00017389116541465465
Ejection Fraction,0.00038138825324187666,0.0006030277765385906,0.1150998205402101,5,0.0016230307798644453,-0.0008602542733806921
ACEi or ARB Medications (choice=Irbesartan),0.00038138825324185444,0.0,0.5,5,0.00038138825324185444,0.00038138825324185444
Distal LAD Degree of Stenosis %,0.00038138825324185444,0.00026968222013220753,0.017054711583704807,5,0.0009366676718984665,-0.00017389116541475765
Right Ventricular End-Diastolic Pressure,0.00038138825324185444,0.0,0.5,5,0.00038138825324185444,0.00038138825324185444
PAPi,0.00038138825324185444,0.0,0.5,5,0.00038138825324185444,0.00038138825324185444
Which of the following vessel(s) are affected (select all that apply): (choice=Obtuse marginal 2),0.00038138825324185444,0.00026968222013212903,0.01705471158368975,5,0.0009366676718983049,-0.000173891165414596
Clonidine,0.00038138825324185444,0.0,0.5,5,0.00038138825324185444,0.00038138825324185444
Was an FFR or IFR collected (choice=FFR).9,0.00038138825324185444,0.0,0.5,5,0.00038138825324185444,0.00038138825324185444
Diastolic Pulmonary Artery Pressure (PAP),0.00038138825324185444,0.0,0.5,5,0.00038138825324185444,0.00038138825324185444
Was an FFR or IFR collected (choice=neither).2,0.00038138825324185444,0.00026968222013212903,0.01705471158368975,5,0.0009366676718983049,-0.000173891165414596
Obtuse Marginal 2 (choice=Distal),0.0003813882532418322,0.0002696822201321683,0.017054711583700286,5,0.0009366676718983635,-0.0001738911654146991
Number of Hypoperfused Segments at Rest,0.00030511060259352796,0.0003190923060770616,0.04965034160682621,5,0.0009621260711305567,-0.0003519048659435008
Pre PTH,0.00030511060259352796,0.001385652335971424,0.3241306474836113,5,0.0031581879141092464,-0.0025479667089221905
CCB Medication (choice=None),0.00030511060259350573,0.00193345413510859,0.37099963960203797,5,0.004286119389958135,-0.0036758981847711237
Was an FFR or IFR collected (choice=neither).10,0.00030511060259350573,0.00017056201201368854,0.008065044950036501,5,0.0006563001427472212,-4.607893756020982e-05
Total Calcium Score,0.00030511060259350573,0.00041778989893606736,0.08890390417807953,5,0.0011653457789729297,-0.0005551245737859182
"Exercise Capacity (Very Poor=0, Poor=1, Below Average=2, Average=3, Above Average=4, Good=5)",0.00030511060259350573,0.0003190923060770218,0.04965034160682,5,0.0009621260711304527,-0.0003519048659434412
