,importance,stddev,p_value,n,p99_high,p99_low
BNP,0.05064935064935063,0.03369261594116138,0.014133655929257416,5,0.12002291255364259,-0.01872421125494133
Was a Post-Transplant Left Heart Cath Performed ,0.019480519480519497,0.008383080835946778,0.0032666881694575467,5,0.0367413987882243,0.002219640172814695
Weight (kg),0.015584415584415612,0.007403736526617772,0.0046308483797571675,5,0.030828811423235153,0.0003400197455960697
Diuretic Medications (choice=Furosemide),0.015151515151515138,0.012051438014783603,0.024127325578857932,5,0.039965592592529325,-0.00966256228949905
Systolic Blood Pressure Pre Transplant,0.01255411255411254,0.0009679947954544961,4.208180907289651e-06,5,0.01454722721706323,0.01056099789116185
Post Calcium,0.012121212121212088,0.00246791217553922,0.0001952921747590204,5,0.017202677400818527,0.00703974684160565
Pre Calcium,0.011688311688311637,0.0011855466612666443,1.2528950249507662e-05,5,0.01412936864985587,0.009247254726767403
Cause of ESKD (choice=Diabetes I),0.009523809523809513,0.0011855466612665227,2.8228831104334084e-05,5,0.011964866485353495,0.00708275256226553
Days from Transplant to LHC Post-transplant,0.009523809523809513,0.00474218664506637,0.005449849284796814,5,0.01928803736998602,-0.0002404183223669934
Pre eGFR,0.009090909090909104,0.0009679947954543968,1.5195225284692e-05,5,0.011084023753859591,0.007097794427958618
BSA,0.008225108225108269,0.00181095243838543,0.00026465552402786595,5,0.01195388432576653,0.004496332124450008
Days from Pretransplant to Transplant,0.007792207792207795,0.0011855466612666443,6.236301762080824e-05,5,0.010233264753752028,0.005351150830663561
Target HR achieved,0.007359307359307343,0.0011855466612666443,7.809587445386426e-05,5,0.009800364320851577,0.00491825039776311
Are there notable LHC findings.1,0.005627705627705692,0.0011855466612665836,0.00022297683237038068,5,0.0080687625892498,0.003186648666161584
Most Recent Hemoglobin,0.0056277056277056255,0.011914596488764318,0.17522726418022785,5,0.03016002447529522,-0.018904613219883973
Height (cm),0.005194805194805263,0.003932013446879827,0.020897340228021317,5,0.013290875228132083,-0.0029012648385215558
Which of the following vessel(s) are affected (select all that apply): (choice=LAD).1,0.005194805194805263,0.0011855466612665836,0.0003040924722316428,5,0.007635862156349371,0.002753748233261155
"Race (White=0, AA=1, Asian=2, Hispanic Latino=3, Other=4)",0.0047619047619047675,0.0018109524383854167,0.0020905360678200218,5,0.008490680862563,0.0010331286612465336
CCB Medication (choice=lodipine),0.004761904761904745,0.005602674937465248,0.06508109038752928,5,0.016297889895342643,-0.006774080371533155
Diastolic Blood Pressure,0.00432900432900436,0.0026509629250900204,0.010871489232618074,5,0.009787373631966124,-0.0011293649739574033
OSA,0.004329004329004316,0.0021645021645021467,0.005528246696724937,5,0.008785744202313412,-0.00012773554430478042
Most Recent HDL-C,0.004329004329004316,0.0021645021645021467,0.005528246696724937,5,0.008785744202313412,-0.00012773554430478042
ACEi or ARB Medications (choice=Olmesartan),0.003896103896103931,0.001810952438385483,0.004290459360962571,5,0.007624879996762301,0.00016732779544556022
Obtuse Marginal 2 (choice=Distal),0.0034632034632035235,0.0019359895909089426,0.008065044950046266,5,0.007449432789104801,-0.0005230258626977547
Which of the following vessel(s) are affected (select all that apply): (choice=Obtuse marginal 2),0.0034632034632035014,0.0011855466612666443,0.0014189229633673921,5,0.005904260424747735,0.0010221465016592682
Diastolic Blood Pressure Pre Transplant,0.0034632034632035014,0.0011855466612666443,0.0014189229633673921,5,0.005904260424747735,0.0010221465016592682
Hydralazine  ,0.0034632034632034792,0.002467912175539259,0.017459853337269265,5,0.008544668742809998,-0.0016182618164030387
Pre HDL-C,0.0034632034632034346,0.0029039843863633394,0.02799999999999998,5,0.009442547452055198,-0.0025161405256483296
LA min 2ch length,0.003030303030303072,0.0019359895909089489,0.012448081730111648,5,0.0070165323562043636,-0.0009559262955982193
Beta Blocker Medications (choice=Carvedilol),0.0025974025974026425,0.006006249751303732,0.1941544861378284,5,0.014964353850530687,-0.0097695486557254
Was there intervention.1,0.0025974025974025983,0.003556639983799798,0.08890390417811136,5,0.009920573482035022,-0.004725768287229825
Diastolic Blood pressure (rest),0.0021645021645022135,0.0034223784200956555,0.11509982054024542,5,0.00921122663377579,-0.004882222304771363
ACEi or ARB Medications (choice=None),0.002164502164502191,0.003422378420095673,0.1150998205402484,5,0.009211226633775804,-0.004882222304771422
Systolic Blood Pressure,0.002164502164502191,0.0034223784200956733,0.1150998205402484,5,0.009211226633775806,-0.004882222304771423
Which of the following vessel(s) are affected (select all that apply): (choice=Obtuse marginal 1),0.002164502164502191,0.0021645021645022022,0.04450467125004339,5,0.006621242037811402,-0.00229223770880702
"Mid LCx Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.002164502164502169,0.0015305341584124672,0.017054711583705605,5,0.005315893150903587,-0.0009868888218992487
LVEDVI,0.002164502164502169,0.0015305341584124672,0.017054711583705605,5,0.005315893150903587,-0.0009868888218992487
Post Total Cholesterol,0.0017316017316017617,0.0038719791818178388,0.18695048315002682,5,0.009704060383404224,-0.006240856920200701
Nitrates,0.0017316017316017396,0.00181095243838547,0.049650341606864504,5,0.005460377832260083,-0.001997174369056604
Are there notable LHC findings,0.0017316017316017396,0.00181095243838547,0.049650341606864504,5,0.005460377832260083,-0.001997174369056604
Mid LAD Degree of Stenosis %.1,0.0017316017316017396,0.00181095243838547,0.049650341606864504,5,0.005460377832260083,-0.001997174369056604
Post LDL-C,0.0017316017316017173,0.005389566925536203,0.25611262934977086,5,0.012828794523011973,-0.009365591059808538
"Test Time Point (initial transplant evaluation=0, surveillance on the waiting list=1, clinical evaluation=2)",0.0017316017316017173,0.0009679947954544465,0.008065044950046266,5,0.0037247163945523056,-0.00026151293134887106
