,importance,stddev,p_value,n,p99_high,p99_low
Post Triglycerides,0.07965367965367964,0.006006249751303725,3.850225220821115e-06,5,0.09202063090680768,0.06728672840055161
Most Recent Calcium,0.04112554112554114,0.05482218676153222,0.08438309698019407,5,0.15400518139068092,-0.07175409913959863
Mid RCA Degree of Stenosis %,0.01861471861471866,0.00290398438636329,6.88286789055464e-05,5,0.024594062603570322,0.012635374625866998
Most Recent PTH,0.01428571428571428,0.001935989590908893,3.950253234510339e-05,5,0.01827194361161546,0.010299484959813103
Age,0.011688311688311703,0.012676667068698116,0.05412001336114459,5,0.03778974439291975,-0.014413121016296344
Most Recent Hemoglobin,0.010389610389610348,0.00984789018707991,0.038870820473950025,5,0.030666552397115042,-0.009887331617894346
"Electrocardiogr (ECG) Changes (None=0, ST Depression=1, ST Elevation=2)",0.008658008658008675,0.003749027722010574,0.0033398303937459584,5,0.01637730855469821,0.0009387087613191396
Most Recent eGFR,0.008658008658008632,0.01368951368038257,0.11509982054024957,5,0.036844906535102834,-0.01952888921908557
Most Recent Triglycerides,0.007792207792207795,0.003932013446879815,0.005705285834933259,5,0.01588827782553459,-0.000303862241119
Was a Pre-Transplant Left Heart Cath Performed,0.007792207792207795,0.007893758670480712,0.04595093125939241,5,0.024045565998066912,-0.008461150413651322
Post PTH,0.007359307359307299,0.0011855466612665836,7.809587445385034e-05,5,0.009800364320851407,0.004918250397763191
RCA (choice=Mid),0.0069264069264069585,0.0023710933225331975,0.0014189229633672243,5,0.011808520849495237,0.0020442930033186786
LCx (choice=Distal),0.006493506493506551,0.0,0.5,5,0.006493506493506551,0.006493506493506551
Days from Pretransplant LHC to Transplant,0.006493506493506484,0.001530534158412428,0.0003444546824697966,5,0.009644897479907821,0.0033421155071051475
History of Kidney Stones,0.006493506493506463,0.001530534158412428,0.0003444546824698009,5,0.0096448974799078,0.003342115507105126
Which of the following vessel(s) are affected (select all that apply): (choice=RCA),0.006060606060606055,0.0018109524383854434,0.0008525787423637824,5,0.009789382161264345,0.0023318299599477663
Cause of ESKD (choice=Diabetes II),0.006060606060606055,0.0041635030436518216,0.015614906963538497,5,0.014633316373212656,-0.002512104252000544
Pre Calcium,0.006060606060606033,0.005602674937465264,0.0364275298051281,5,0.017596591194043967,-0.0054753790728319
Are there notable LHC findings,0.0051948051948051965,0.0011855466612666443,0.0003040924722317181,5,0.00763586215634943,0.0027537482332609634
METs,0.0047619047619047224,0.0009679947954544465,0.00019408566924700716,5,0.006755019424855311,0.002768790098954134
Pre Triglycerides,0.004329004329004338,0.001530534158412428,0.0015991010761675919,5,0.007480395315405675,0.0011776133426030008
Target HR achieved,0.004329004329004338,0.001530534158412428,0.0015991010761675919,5,0.007480395315405675,0.0011776133426030008
Wall motion abnormalities,0.004329004329004338,0.001530534158412428,0.0015991010761675919,5,0.007480395315405675,0.0011776133426030008
Pre Vitamin D,0.004329004329004316,0.003422378420095638,0.023710327792159792,5,0.011375728798277857,-0.002717720140269225
"Mid RCA degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0043290043290042934,0.0,0.5,5,0.0043290043290042934,0.0043290043290042934
Proximal Obtuse Marginal 1 Degree of Stenosis %,0.003896103896103931,0.002822165543377781,0.018340994700220267,5,0.009706981756391843,-0.001914773964183982
Pericardial Effusion,0.003896103896103886,0.0023710933225331975,0.01065582056437861,5,0.008778217819192167,-0.0009860100269843937
Aspirin ,0.003896103896103886,0.0023710933225331975,0.01065582056437861,5,0.008778217819192167,-0.0009860100269843937
ACEi or ARB Medications (choice=Losartan),0.003896103896103864,0.0009679947954544465,0.0004219162588006391,5,0.005889218559054452,0.0019029892331532757
Post Total Cholesterol,0.0034632034632034792,0.002467912175539259,0.017459853337269265,5,0.008544668742809998,-0.0016182618164030387
History of drug treated hypotension,0.003463203463203457,0.0024679121755392737,0.017459853337269907,5,0.008544668742810006,-0.0016182618164030911
"TR Severity (severe=0, moderate=1, mild=2, none or trace=3)",0.003030303030303072,0.002467912175539259,0.02580297890558633,5,0.00811176830990959,-0.002051162249303446
Obtuse Marginal 2 (choice=Distal),0.0030303030303030277,0.00421939149125928,0.091783430027638,5,0.01171808842899382,-0.005657482368387765
RCA (choice=Proximal),0.0030303030303030277,0.00604512556007313,0.16253892294645503,5,0.015477300111008042,-0.009416694050401988
ACEi or ARB Medications (choice=None),0.0025974025974026425,0.0023710933225332027,0.03524199845510897,5,0.007479516520490932,-0.002284711325685647
"AS severity (severe=0, moderate=1, mild=2, none or trace=3)",0.0025974025974026204,0.003871979181817842,0.10399999999999938,5,0.010569861249205089,-0.005375056054399847
Weight (kg),0.0025974025974026204,0.0018109524383854167,0.01633896166840027,5,0.006326178698060854,-0.0011313735032556136
Was a Baseline Echo Performed ,0.0025974025974026204,0.0018109524383854167,0.01633896166840027,5,0.006326178698060854,-0.0011313735032556136
Pre PTH,0.0025974025974025983,0.003556639983799781,0.08890390417811063,5,0.009920573482034987,-0.004725768287229789
RCA (choice=Distal),0.0025974025974025983,0.0032104755355392553,0.07235199930316545,5,0.009207816098565436,-0.004013010903760239
Beta Blocker Medications (choice=Metoprolol),0.0025974025974025983,0.0032104755355392553,0.07235199930316545,5,0.009207816098565436,-0.004013010903760239
Obtuse Marginal 1 (choice=Distal),0.002597402597402576,0.003871979181817786,0.10399999999999986,5,0.010569861249204929,-0.005375056054399778
Was an FFR or IFR collected (choice=neither).7,0.002597402597402576,0.003871979181817786,0.10399999999999986,5,0.010569861249204929,-0.005375056054399778
Days from Pretransplant to Transplant,0.002597402597402576,0.002371093322533167,0.035241998455109974,5,0.007479516520490793,-0.0022847113256856404
Ejection Fraction,0.002597402597402576,0.002371093322533167,0.035241998455109974,5,0.007479516520490793,-0.0022847113256856404
Was a Stress Echo Performed,0.0021645021645022577,0.0,0.5,5,0.0021645021645022577,0.0021645021645022577
Distal LCx Degree of Stenosis %,0.0021645021645022577,0.0,0.5,5,0.0021645021645022577,0.0021645021645022577
Was a Nuclear Stress Test Performed,0.0021645021645022356,0.003061068316824895,0.09450182922758264,5,0.00846728413730499,-0.0041382798083005184
Was an FFR or IFR collected (choice=neither).6,0.002164502164502191,0.00404941275624888,0.14900740586560388,5,0.010502298998450784,-0.006173294669446401
History of Gout,0.002164502164502169,0.003061068316824895,0.09450182922758808,5,0.008467284137304923,-0.004138279808300586
LCx (choice=Mid),0.002164502164502169,0.001530534158412428,0.017054711583704276,5,0.005315893150903505,-0.000986888821899168
Peak Heart rate ,0.0021645021645021467,0.0021645021645021467,0.04450467125004282,5,0.006621242037811243,-0.0022922377088069497
BSA,0.0021645021645021467,0.003061068316824856,0.09450182922758767,5,0.00846728413730482,-0.004138279808300527
Days Between Transplant to Nuc Stress Test,0.0021645021645021467,0.001530534158412428,0.017054711583704807,5,0.005315893150903484,-0.0009868888218991902
Diagonal 2 (choice=Proximal),0.0017316017316018062,0.0009679947954544961,0.008065044950046266,5,0.0037247163945524965,-0.00026151293134888407
Number of Hypoperfused Segments at Rest,0.0017316017316017617,0.0018109524383854432,0.049650341606861215,5,0.00546037783226005,-0.0019971743690565267
LCx (choice=Proximal),0.0017316017316017617,0.0018109524383854432,0.049650341606861215,5,0.00546037783226005,-0.0019971743690565267
"Echo Timepoint (initial transplant evaluation=0, surveillance on the waiting list=1, clinical evaluation=2)",0.0017316017316017617,0.002822165543377798,0.12099076528400891,5,0.007542479591889709,-0.004079276128686185
Most Recent Urine Creatinine ,0.0017316017316017617,0.006565260124719924,0.2935248198935241,5,0.015249563069938191,-0.01178635960673467
Beta Blocker Medications (choice=Carvedilol),0.0017316017316017396,0.0018109524383854367,0.04965034160686232,5,0.005460377832260015,-0.0019971743690565353
"MR severity (severe=0, moderate=1, mild=2, none or trace=3)",0.0017316017316017396,0.00387197918181782,0.1869504831500286,5,0.009704060383404163,-0.006240856920200683
RCA (choice=Proximal).1,0.0017316017316017396,0.003556639983799788,0.16875092827018184,5,0.009054772616234141,-0.005591569153030662
Was an FFR or IFR collected (choice=neither).21,0.0017316017316017396,0.002822165543377794,0.12099076528401119,5,0.007542479591889678,-0.0040792761286861995
Which of the following vessel(s) are affected (select all that apply): (choice=Diagonal 1),0.0017316017316017396,0.0018109524383854367,0.04965034160686232,5,0.005460377832260015,-0.0019971743690565353
LVEF,0.0017316017316017173,0.002822165543377747,0.12099076528401041,5,0.0075424795918895594,-0.004079276128686126
Pre Hemoglobin,0.0017316017316017173,0.0035566399837997508,0.16875092827018234,5,0.009054772616234044,-0.005591569153030608
Pre Total Cholesterol,0.0017316017316017173,0.002371093322533167,0.08890390417811063,5,0.006613715654689933,-0.0031505121914864992
