,importance,stddev,p_value,n,p99_high,p99_low
BNP,0.1314716312056738,0.08599667773413569,0.013408564122866713,5,0.30853997926065907,-0.04559671684931149
Most Recent Urine Creatinine ,0.01054964539007095,0.004470142636694568,0.0030909864127282825,5,0.019753730862962136,0.0013455599171797623
Age,0.0062943262411347956,0.0030291399934875454,0.004843813959432611,5,0.012531367354889621,5.728512737997009e-05
Diuretic Medications (choice=Spironolactone),0.0039007092198582115,0.0007283544647674978,0.00013933293539281967,5,0.005400401129743014,0.002401017309973409
"Echo Timepoint (initial transplant evaluation=0, surveillance on the waiting list=1, clinical evaluation=2)",0.003457446808510678,0.0014499492228542865,0.002978679883307924,5,0.006442912298795627,0.0004719813182257281
Post Triglycerides,0.0031914893617021934,0.0018648655999966607,0.00933493668529151,5,0.00703127340727706,-0.000648294683872674
Most Recent Hemoglobin,0.003102836879432669,0.003331847601589737,0.05286925533732347,5,0.009963157142133675,-0.0037574833832683366
Resting Heart Rate,0.0030141843971631887,0.001483439763358269,0.005234834644806947,5,0.0060686073732342995,-4.02385789079222e-05
"BP response to exercise (hypotension=0, normal=1, hypertension=2, flat=3)",0.0029255319148936863,0.0006722407308556243,0.0003122401024275977,5,0.004309684871079717,0.001541378958707655
Most Recent LDL-C,0.0027482269503546373,0.002946945060034566,0.05269545908603717,5,0.00881602756007507,-0.0033195736593657947
Cause of ESKD (choice=ADPKD),0.0024822695035461527,0.0009191684997042781,0.0018961090068277985,5,0.00437485014869602,0.0005896888583962856
Most Recent PTH,0.0023936170212766504,0.0014225892319043806,0.009867268899979312,5,0.005322747912040482,-0.0005355138694871811
Most Recent Vitamin D,0.0021276595744681216,0.0023538861786084942,0.05667362938240488,5,0.006974343750387434,-0.00271902460145119
Wall motion abnormalities,0.002039007092198597,0.0010204667050727968,0.005546232163094311,5,0.004140162142292231,-6.214795789503697e-05
Pre HDL-C,0.0018617021276596368,0.0008526322722372391,0.0040732514581385115,5,0.0036172837608264776,0.00010612049449279602
CCB Medication (choice=lodipine),0.0018617021276595923,0.0010582745023327796,0.008525209149787223,5,0.004040703954870823,-0.0003172996995516376
