,importance,stddev,p_value,n,p99_high,p99_low
Most Recent LDL-C,0.05064935064935074,0.02622533546469431,0.006230831839360354,5,0.10464767884381274,-0.003348977545111251
Most Recent eGFR,0.01774891774891778,0.009966116392399443,0.008185029084045765,5,0.03826928914723521,-0.002771453649399642
Was a Post-Transplant Left Heart Cath Performed ,0.016450216450216514,0.006946669496052465,0.003053540600165358,5,0.03075350495576438,0.0021469279446686487
Days from Transplant to LHC Post-transplant,0.01168831168831177,0.004219391491259283,0.0017268073140265323,5,0.020376097087002568,0.003000526289620973
Most Recent Calcium,0.01082251082251089,0.005927733306332938,0.0075338492814233824,5,0.023027795630231475,-0.0013827739852096937
"AR severity (severe=0, moderate=1, mild=2, none or trace=3)",0.010389610389610482,0.0058079687727267786,0.008065044950046266,5,0.022348298367314216,-0.0015690775880932532
Post PTH,0.00995670995671003,0.005644331086755588,0.00844813631350659,5,0.021578465677285906,-0.0016650457638658477
Post LDL-C,0.008658008658008698,0.005076207532276468,0.009438813401809992,5,0.019109990127610076,-0.001793972811592678
History of Kidney Biopsy,0.007792207792207862,0.007113279967599623,0.035241998455109974,5,0.022438549561472763,-0.006854133977057039
Pre HDL-C,0.006493506493506507,0.007013788634640543,0.05360313309981447,5,0.020934994233092304,-0.007947981246079292
Resting Heart Rate,0.005627705627705692,0.0072760763263946355,0.07938822604589062,5,0.02060924734981432,-0.009353836094402938
Post eGFR,0.004329004329004382,0.007178841537565825,0.12441045690433031,5,0.01911033827698689,-0.010452329618978125
Pre Triglycerides,0.003896103896103975,0.0028221655433777466,0.018340994700218955,5,0.009706981756391817,-0.0019147739641838667
OSA,0.003896103896103975,0.005167678089313153,0.08355165786629652,5,0.01453642450690134,-0.006744216714693389
Was a Pre-Transplant Left Heart Cath Performed,0.003896103896103953,0.0028221655433777852,0.018340994700220038,5,0.009706981756391874,-0.0019147739641839686
CCB Medication (choice=None),0.0034632034632035456,0.0011855466612665836,0.0014189229633670556,5,0.005904260424747653,0.0010221465016594373
Which of the following vessel(s) are affected (select all that apply): (choice=LAD).1,0.0034632034632035235,0.0024679121755392785,0.01745985333726901,5,0.00854466874281008,-0.0016182618164030343
Are there notable LHC findings.1,0.0034632034632035235,0.0024679121755392785,0.01745985333726901,5,0.00854466874281008,-0.0016182618164030343
"Type (Exercise=0, Pharm=1)",0.003030303030303094,0.005644331086755572,0.14809051466806883,5,0.014652058750878938,-0.008591452690272752
Days from Pretransplant to Transplant,0.003030303030303094,0.002903984386363368,0.03997982327278891,5,0.009009647019154916,-0.002949040958548729
LA min 4ch area,0.002597402597402687,0.0009679947954544465,0.0019412685234799507,5,0.004590517260353276,0.0006042879344520988
Distal RCA Degree of Stenosis %.1,0.002597402597402665,0.0018109524383854699,0.016338961668400882,5,0.006326178698061008,-0.0011313735032556782
LVEDVI,0.0025974025974026204,0.0058079687727267786,0.1869504831500295,5,0.014556090575106356,-0.009361285380301114
BNP,0.0021645021645022356,0.0015305341584124672,0.017054711583704002,5,0.005315893150903653,-0.000986888821899182
LV Mass,0.0021645021645022356,0.0015305341584124672,0.017054711583704002,5,0.005315893150903653,-0.000986888821899182
Mid RCA Degree of Stenosis %.1,0.0021645021645022135,0.0021645021645022022,0.044504671250042246,5,0.006621242037811424,-0.0022922377088069974
Most Recent HDL-C,0.0021645021645022135,0.003749027722010622,0.13313231398315398,5,0.009883802061191847,-0.005554797732187421
LA Volume,0.002164502164502191,0.00612213663364981,0.2367136826285679,5,0.01477006611010774,-0.01044106178110336
Days Between Transplant to Nuc Stress Test,0.0017316017316018283,0.00181095243838543,0.04965034160685573,5,0.00546037783226009,-0.001997174369056433
History of Kidney Stones,0.0017316017316018062,0.0009679947954544961,0.008065044950046266,5,0.0037247163945524965,-0.00026151293134888407
TAPSE (cm),0.0017316017316018062,0.0009679947954544961,0.008065044950046266,5,0.0037247163945524965,-0.00026151293134888407
Height (cm),0.0017316017316018062,0.0009679947954544961,0.008065044950046266,5,0.0037247163945524965,-0.00026151293134888407
Target HR achieved,0.0017316017316018062,0.0009679947954544961,0.008065044950046266,5,0.0037247163945524965,-0.00026151293134888407
LAD (choice=Mid).1,0.001731601731601784,0.001810952438385483,0.04965034160686232,5,0.005460377832260155,-0.0019971743690565865
Systemic Vascular Resistance,0.001731601731601784,0.001810952438385483,0.04965034160686232,5,0.005460377832260155,-0.0019971743690565865
BSA,0.001731601731601784,0.004163503043651824,0.20251165715452465,5,0.010304312044208386,-0.006841108581004819
Weight (kg),0.001731601731601784,0.001810952438385483,0.04965034160686232,5,0.005460377832260155,-0.0019971743690565865
Post Calcium,0.0017316017316017617,0.00771364921264309,0.32103221783575847,5,0.01761411207439596,-0.014150908611192437
LA min 4ch length,0.0012987012987013546,0.0011855466612666445,0.035241998455109974,5,0.0037397582602455887,-0.0011423556628428794
Diastolic Blood pressure (rest),0.0012987012987013546,0.0024679121755392932,0.1522793923402613,5,0.006380166578307943,-0.0037827639809052335
Mid LAD Degree of Stenosis %.1,0.0012987012987013546,0.0011855466612666445,0.035241998455109974,5,0.0037397582602455887,-0.0011423556628428794
"RV Function (severely reduced=0, mildly reduced=2, normal=3)",0.0012987012987013546,0.0011855466612666445,0.035241998455109974,5,0.0037397582602455887,-0.0011423556628428794
CCB Medication (choice=lodipine),0.0012987012987013546,0.0011855466612666443,0.035241998455109974,5,0.003739758260245588,-0.0011423556628428785
RCA (choice=Mid).1,0.0012987012987013546,0.0011855466612666445,0.035241998455109974,5,0.0037397582602455887,-0.0011423556628428794
RCA (choice=Distal).1,0.0012987012987013546,0.0011855466612666443,0.035241998455109974,5,0.003739758260245588,-0.0011423556628428785
Most Recent Urine Creatinine ,0.0012987012987013102,0.0054328573151563395,0.3106541475187472,5,0.012485029600676196,-0.009887627003273577
Diuretic Medications (choice=Furosemide),0.0008658008658009253,0.0011855466612666244,0.08890390417810332,5,0.0033068578273451176,-0.0015752560957432672
"Stress Echo Time Point (initial transplant evaluation=0, surveillance on the waiting list=1, clinical evaluation=2)",0.0008658008658009031,0.0024679121755392932,0.23831033363641432,5,0.005947266145407491,-0.004215664413805685
Which of the following vessel(s) are affected (select all that apply): (choice=LAD),0.0008658008658009031,0.0011855466612666443,0.08890390417811063,5,0.0033068578273451363,-0.00157525609574333
Anticoagulation Medication (choice=Warfarin),0.0008658008658009031,0.0011855466612666443,0.08890390417811063,5,0.0033068578273451363,-0.00157525609574333
Ejection Fraction,0.0008658008658009031,0.0011855466612666443,0.08890390417811063,5,0.0033068578273451363,-0.00157525609574333
Age,0.0008658008658009031,0.0024679121755392932,0.23831033363641432,5,0.005947266145407491,-0.004215664413805685
Diuretic Medications (choice=None),0.0008658008658009031,0.002467912175539293,0.23831033363641432,5,0.00594726614540749,-0.004215664413805684
LAD (choice=Proximal).1,0.0008658008658009031,0.0011855466612666445,0.08890390417811063,5,0.003306857827345137,-0.001575256095743331
CCB Medication (choice=Diltiazem),0.0008658008658009031,0.0011855466612666445,0.08890390417811063,5,0.003306857827345137,-0.001575256095743331
LAD (choice=Distal).1,0.0008658008658008809,0.0019359895909089426,0.1869504831500295,5,0.004852030191702159,-0.003120428460100397
Cause of ESKD (choice=Other),0.0008658008658008809,0.0019359895909089426,0.1869504831500295,5,0.004852030191702159,-0.003120428460100397
