,importance,stddev,p_value,n,p99_high,p99_low
Pre Vitamin D,0.02399999999999991,0.012978265452272894,0.007217306249896404,5,0.05072242794492108,-0.0027224279449212588
Pericardial Effusion,0.01885714285714284,0.01955746228593474,0.04866233161148146,5,0.05912622801673764,-0.021411942302451966
"Distal LCx Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.017523809523809497,0.000851835419999897,6.679175857660294e-07,5,0.019277750427205982,0.015769868620413012
LAD (choice=Distal),0.017142857142857036,0.0011664236870396227,2.5562166526554502e-06,5,0.01954453963616024,0.014741174649553832
TR Peak Gradient,0.015047619047618999,0.016975372317157643,0.05925579960214982,5,0.05000014527322577,-0.019904907177987777
BNP,0.013714285714285679,0.016490222486119588,0.06822770956978096,5,0.04766788173230183,-0.020239310303730475
Diuretic Medications (choice=Furosemide),0.013523809523809494,0.002171762714474563,7.713422593306914e-05,5,0.01799549896986326,0.009052120077755726
Most Recent Hemoglobin,0.012761904761904707,0.008770182425311515,0.01563152605003442,5,0.03081983159242405,-0.005296022068614636
Diastolic Blood Pressure,0.01123809523809518,0.0026427498905736506,0.00034140695801272285,5,0.016679553789471536,0.005796636686718824
Post eGFR,0.010857142857142787,0.002825218471274509,0.0005038489376293915,5,0.01667430673816601,0.005039978976119564
Are there notable LHC findings,0.009714285714285653,0.004333071682315197,0.003710894385997268,5,0.018636140197587796,0.0007924312309835115
"Proximal RCA Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2).1",0.00952380952380949,0.00870269851547476,0.03533495001829027,5,0.0274427860512482,-0.00839516700362922
Most Recent PTH,0.009523809523809467,0.004994327848429296,0.006505974440370443,5,0.01980719959267202,-0.0007595805450530853
Cause of ESKD (choice=Other),0.009333333333333305,0.015377339985641654,0.12312519959833691,5,0.04099548890119461,-0.022328822234528
Was there intervention,0.008952380952380911,0.004183977645045489,0.004373420825427956,5,0.017567248752246134,0.00033751315251568693
Diuretic Medications (choice=None),0.008571428571428518,0.0071587125611299925,0.027690791904731327,5,0.023311316678717626,-0.00616845953586059
RCA (choice=Proximal).1,0.008380952380952378,0.015524101662457136,0.14693242558866876,5,0.040345292269838705,-0.02358338750793395
"Echo Timepoint (initial transplant evaluation=0, surveillance on the waiting list=1, clinical evaluation=2)",0.007999999999999941,0.008013593892557203,0.04469242999004751,5,0.02450010058441334,-0.008500100584413459
BMI,0.007999999999999919,0.005698390591105371,0.017436839073275465,5,0.019733064987213753,-0.003733064987213916
Distal LCx Degree of Stenosis %,0.007809523809523822,0.0004259177099999485,1.0574635902911677e-06,5,0.008686494261222064,0.006932553357825579
Which of the following vessel(s) are affected (select all that apply): (choice=Diagonal 1),0.0078095238095237775,0.0029661736195042867,0.002080811045124093,5,0.013916916288959299,0.0017021313300882553
Was a Post-Transplant Left Heart Cath Performed ,0.007809523809523755,0.0012417528390861981,7.418628253711336e-05,5,0.010366310068050385,0.005252737550997126
LVEF,0.007428571428571384,0.0039497983530148205,0.006817808454015187,5,0.015561260829443677,-0.0007041179723009097
BSA,0.0074285714285713626,0.004685094809999542,0.011947975805895083,5,0.017075246397252254,-0.0022181035401095273
