,importance,stddev,p_value,n,p99_high,p99_low
BNP,0.15627705627705638,0.08239904667833846,0.00662700846185009,5,0.3259378322636097,-0.013383719709496922
Most Recent Urine Creatinine ,0.03679653679653687,0.010267135260286955,0.0006575990527853554,5,0.057936710204357575,0.015656363388716163
Days from Transplant to LHC Post-transplant,0.02207792207792214,0.010082956449222611,0.0040331218489955386,5,0.042838868768139665,0.001316975387704613
Was a Post-Transplant Left Heart Cath Performed ,0.0121212121212122,0.00694666949605247,0.008758096274880145,5,0.02642450062676007,-0.002182076384335674
Most Recent Hemoglobin,0.007792207792207839,0.004488407219335021,0.008905662738978368,5,0.01703390029319908,-0.0014494847087834018
Post Total Cholesterol,0.00692640692640698,0.010312666016945094,0.10377483511930473,5,0.028160328791488734,-0.014307514938674772
BMI,0.005627705627705692,0.0011855466612665836,0.00022297683237038068,5,0.0080687625892498,0.003186648666161584
History of UTIs,0.005194805194805241,0.0029039843863633893,0.008065044950046266,5,0.011174149183657108,-0.0007845387940466266
Systolic Blood Pressure Pre Transplant,0.0043290043290044045,0.0,0.5,5,0.0043290043290044045,0.0043290043290044045
Pre Hemoglobin,0.0043290043290044045,0.0021645021645021467,0.005528246696724548,5,0.0087857442023135,-0.00012773554430469194
Distal LAD Degree of Stenosis %.1,0.0043290043290042934,0.0,0.5,5,0.0043290043290042934,0.0043290043290042934
Days from Echo to Transplant,0.003896103896103975,0.00181095243838543,0.004290459360961958,5,0.007624879996762236,0.00016732779544571374
"AR severity (severe=0, moderate=1, mild=2, none or trace=3)",0.003896103896103953,0.0032104755355392553,0.02666913052284357,5,0.01050651739726679,-0.0027143096050588848
RVSP,0.003896103896103931,0.0018109524383854167,0.00429045936096202,5,0.007624879996762165,0.00016732779544569682
Most Recent Urine Pro/Cre Ratio,0.003030303030303094,0.0024679121755392733,0.025802978905586225,5,0.008111768309909641,-0.0020511622493034534
Post Vitamin D,0.002597402597402665,0.011894919189639891,0.32545709633523323,5,0.02708920561412589,-0.021894400419320562
Which of the following vessel(s) are affected (select all that apply): (choice=RCA),0.002597402597402665,0.007864026893759701,0.2505846837100761,5,0.0187895426640564,-0.013594737469251071
Most Recent Calcium,0.0021645021645022577,0.001530534158412428,0.01705471158370215,5,0.005315893150903595,-0.0009868888218990792
CCB Medication (choice=Diltiazem),0.0017316017316018283,0.003871979181817786,0.18695048315001572,5,0.009704060383404182,-0.006240856920200525
LA Volume,0.0017316017316018062,0.0009679947954544961,0.008065044950046266,5,0.0037247163945524965,-0.00026151293134888407
Days from Pretransplant to Transplant,0.001731601731601784,0.0032104755355392704,0.14712818401220829,5,0.008342015232764653,-0.0048788117695610835
Post PTH,0.001731601731601784,0.001810952438385483,0.04965034160686232,5,0.005460377832260155,-0.0019971743690565865
Most Recent Urine Protein,0.0012987012987013768,0.003282630062359981,0.21315860397017172,5,0.00805768196786963,-0.005460279370466878
Was a Nuclear Stress Test Performed,0.0012987012987013546,0.0011855466612666445,0.035241998455109974,5,0.0037397582602455887,-0.0011423556628428794
Beta Blocker Medications (choice=None),0.0012987012987013546,0.0011855466612666443,0.035241998455109974,5,0.003739758260245588,-0.0011423556628428785
Diastolic Blood pressure (peak),0.0012987012987013546,0.0011855466612666443,0.035241998455109974,5,0.003739758260245588,-0.0011423556628428785
"Mid LCx Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0012987012987013325,0.0019359895909089489,0.10399999999999894,5,0.005284930624602623,-0.0026875280271999587
Post HDL-C,0.0008658008658009031,0.0011855466612666445,0.08890390417811063,5,0.003306857827345137,-0.001575256095743331
Post Triglycerides,0.0008658008658009031,0.003621904876770913,0.31065414751874226,5,0.008323353067117534,-0.006591751335515728
Resting Heart Rate,0.0008658008658009031,0.0011855466612666443,0.08890390417811063,5,0.0033068578273451363,-0.00157525609574333
LA max 2ch length,0.0004329004329004738,0.001810952438385483,0.3106541475187361,5,0.004161676533558844,-0.003295875667757897
LA min 4ch length,0.00043290043290045155,0.0009679947954544961,0.1869504831500295,5,0.002426015095851142,-0.0015602142300502387
Financial Concerns,0.00043290043290045155,0.0009679947954544961,0.1869504831500295,5,0.002426015095851142,-0.0015602142300502387
Cause of ESKD (choice=Other),0.00043290043290045155,0.0009679947954544961,0.1869504831500295,5,0.002426015095851142,-0.0015602142300502387
LCx (choice=Proximal),0.00043290043290045155,0.0009679947954544961,0.1869504831500295,5,0.002426015095851142,-0.0015602142300502387
Post eGFR,0.00043290043290045155,0.0009679947954544961,0.1869504831500295,5,0.002426015095851142,-0.0015602142300502387
METs,0.00043290043290045155,0.0009679947954544961,0.1869504831500295,5,0.002426015095851142,-0.0015602142300502387
Most Recent HDL-C,0.00043290043290045155,0.0009679947954544961,0.1869504831500295,5,0.002426015095851142,-0.0015602142300502387
Anticoagulation Medication (choice=Rivaroxaban),0.00043290043290045155,0.0009679947954544961,0.1869504831500295,5,0.002426015095851142,-0.0015602142300502387
Was an FFR or IFR collected (choice=neither).10,0.00043290043290045155,0.0009679947954544961,0.1869504831500295,5,0.002426015095851142,-0.0015602142300502387
Obtuse Marginal 1 (choice=Distal),0.00043290043290045155,0.0009679947954544961,0.1869504831500295,5,0.002426015095851142,-0.0015602142300502387
Post Calcium,0.00043290043290045155,0.0009679947954544961,0.1869504831500295,5,0.002426015095851142,-0.0015602142300502387
