,importance,stddev,p_value,n,p99_high,p99_low
Diastolic Blood Pressure,0.0867892976588629,0.032130313111063555,0.001894549105555164,5,0.15294605644266357,0.02063253887506221
BNP,0.06889632107023413,0.03091158722128124,0.003788469453622889,5,0.13254370640239116,0.0052489357380771234
Pre Vitamin D,0.05183946488294315,0.022859904873732993,0.0035633711008515325,5,0.09890832497542182,0.00477060479046449
Days from Pretransplant LHC to Transplant,0.03528428093645484,0.027473903661079442,0.02269436566277899,5,0.09185342830432021,-0.021284866431410532
Urine Output (mL),0.021906354515050186,0.011977260588274266,0.007489048289403922,5,0.04656769960964066,-0.002754990579540293
Pre PTH,0.02173913043478264,0.01394091304392396,0.0125971331519653,5,0.05044366307611703,-0.006965402206551747
Systolic Blood Pressure,0.013377926421404718,0.007997962570948612,0.010058814938174768,5,0.029845841898578206,-0.0030899890557687694
Diuretic Medications (choice=Furosemide),0.013377926421404696,0.003183851632886247,0.0003575450263172752,5,0.01993352093902355,0.006822331903785843
Systolic Blood pressure (peak),0.012541806020066937,0.005822904798153896,0.004273283086070218,5,0.024531247480562915,0.0005523645595709586
Diastolic Blood pressure (peak),0.011371237458193994,0.008640809821246672,0.02113875522921315,5,0.029162784308824415,-0.006420309392436424
Pre HDL-C,0.011036789297658878,0.012222810579668612,0.056807441835010075,5,0.036203725218391866,-0.014130146623074106
Age,0.01086956521739133,0.0049817622440689845,0.004083797753148378,5,0.02112708253320089,0.0006120479015817668
Days from Pretransplant to Transplant,0.010535117056856192,0.018390847889452958,0.13472268041434465,5,0.0484021270497705,-0.027331892936058123
"RV Function (severely reduced=0, mildly reduced=2, normal=3)",0.008361204013377987,0.0014482030163619364,0.00010381226586288316,5,0.011343074040360049,0.005379333986395925
"Proximal Diagonal 1 Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.008193979933110374,0.003939538123541728,0.0048275722476484205,5,0.01630554337968613,8.241648653461824e-05
Distal LCx Degree of Stenosis %,0.00785953177257528,0.0012680393719149998,7.855992168319738e-05,5,0.010470442365514905,0.005248621179635654
Family history of CKD,0.007859531772575257,0.003858856441208849,0.005191766121746257,5,0.01580497052008826,-8.590697493774356e-05
Weight (kg),0.007525083612040162,0.004304193202753771,0.008701690563653061,5,0.01638747690678232,-0.0013373096827019974
Proximal Diagonal 1 Degree of Stenosis %,0.00752508361204014,0.0020480683468086305,0.0005981266548925799,5,0.011742084645431906,0.0033080825786483735
Days Between Transplant and Stress Echo,0.0073578595317725926,0.01085991338904057,0.10217435725903849,5,0.029718571299761413,-0.015002852236216228
Systolic Blood pressure (rest),0.006521739130434789,0.005834898435574571,0.03340892690078292,5,0.018535875656149624,-0.005492397395280045
Are there notable LHC findings,0.005685618729097031,0.003939538123541762,0.016031250000000146,5,0.013797182175672856,-0.0024259447174787944
