,importance,stddev,p_value,n,p99_high,p99_low
Cause of ESKD (choice=Diabetes I),0.06310679611650483,0.0,0.5,5,0.06310679611650483,0.06310679611650483
Pre Calcium,0.05631067961165046,0.007362014994224803,3.427453131897448e-05,5,0.07146917023862003,0.0411521889846809
Systolic Blood Pressure Pre Transplant,0.05242718446601939,0.020132467333327873,0.0021658974811464503,5,0.093880212965611,0.010974155966427791
Pre LDL-C,0.03592233009708736,0.0026588473665299316,3.5754538056580484e-06,5,0.04139693357394846,0.03044772662022626
"Type (Exercise=0, Pharm=1)",0.024271844660194164,0.022769008542832172,0.03784385812727355,5,0.07115354795102724,-0.022609858630638906
Diastolic Blood Pressure Pre Transplant,0.022330097087378632,0.022403846134396742,0.04486982951268143,5,0.06845992593216231,-0.023799731757405046
Weight (kg),0.01650485436893203,0.01117559653710809,0.01493348418617773,5,0.039515562101996665,-0.006505853364132605
Diastolic Blood pressure (rest),0.014563106796116498,0.03145990630295076,0.17954776466256872,5,0.07933948869600614,-0.050213275103773145
Systolic Blood pressure (peak),0.010679611650485431,0.013025638703882264,0.07034113243330993,5,0.03749958177523821,-0.016140358474267348
Resting Heart Rate,0.009708737864077666,0.006865114380451915,0.017054711583704817,5,0.023844103259392513,-0.004426627531237182
Peak Heart rate ,0.0087378640776699,0.007200192705918117,0.02666913052284452,5,0.023563160376394283,-0.006087432221054484
BMI,0.006796116504854366,0.010635389466119726,0.11312260937102511,5,0.028694530412298774,-0.01510229740259004
CCB Medication (choice=Nifedipine),0.006796116504854366,0.007362014994224804,0.05396941114613827,5,0.02195460713182393,-0.008362374122115199
Beta Blocker Medications (choice=Carvedilol),0.006796116504854366,0.005534832160675425,0.02580297890558736,5,0.0181924124231952,-0.004600179413486465
CCB Medication (choice=lodipine),0.004854368932038833,0.009081692686344515,0.1490074058656052,5,0.023553699695554483,-0.013844961831476817
Cause of ESKD (choice=Other),0.004854368932038833,0.02030728219742901,0.31065414751874854,5,0.046667343653012866,-0.0369586057889352
"Types (Exercise=0, Pharm=1)",0.004854368932038833,0.0034325571902259575,0.017054711583704817,5,0.011922051629696256,-0.002213313765618591
Diuretic Medications (choice=None),0.004854368932038833,0.011384504271416086,0.19717414165456412,5,0.028295220577455368,-0.018586482713377702
Days from Pretransplant to Transplant,0.003883495145631066,0.010524021062465432,0.22782976997898544,5,0.02555259997067636,-0.017785609679414227
"RV Function (severely reduced=0, mildly reduced=2, normal=3)",0.003883495145631066,0.007976542099589794,0.16875092827018234,5,0.020307305576214373,-0.012540315284952239
Days from Pretransplant LHC to Transplant,0.003883495145631066,0.007200192705918117,0.14712818401221317,5,0.01870879144435545,-0.010941801153093317
Days Between Transplant and Stress Echo,0.003883495145631066,0.01729954337981112,0.3210322178357605,5,0.03950349406976158,-0.03173650377849945
Mid LCx Degree of Stenosis %,0.0029126213592232998,0.0026588473665299316,0.035241998455109974,5,0.008387224836084402,-0.002561982117637802
IVSd (cm),0.0029126213592232998,0.012184369318457405,0.3106541475187484,5,0.028000406191807718,-0.022175163473361115
Nitrates,0.0029126213592232998,0.004341879567960755,0.10399999999999986,5,0.01185261140080756,-0.006027368682360961
Hydralazine  ,0.0029126213592232998,0.004341879567960755,0.10399999999999986,5,0.01185261140080756,-0.006027368682360961
"Mid LCx Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0029126213592232998,0.0026588473665299316,0.035241998455109974,5,0.008387224836084402,-0.002561982117637802
Cause of ESKD (choice=Diabetes II),0.001941747572815533,0.0026588473665299316,0.08890390417811063,5,0.007416351049676634,-0.0035328559040455686
Diagonal 1 (choice=Mid),0.001941747572815533,0.0026588473665299316,0.08890390417811063,5,0.007416351049676634,-0.0035328559040455686
Was an FFR or IFR collected (choice=neither).9,0.001941747572815533,0.005534832160675424,0.23831033363642068,5,0.013338043491156363,-0.009454548345525296
Cause of ESKD (choice=ADPKD),0.001941747572815533,0.007362014994224803,0.29352481989352813,5,0.017100238199785095,-0.013216743054154028
CCB Medication (choice=Diltiazem),0.001941747572815533,0.0026588473665299316,0.08890390417811063,5,0.007416351049676634,-0.0035328559040455686
Was an FFR or IFR collected (choice=neither).2,0.001941747572815533,0.0026588473665299316,0.08890390417811063,5,0.007416351049676634,-0.0035328559040455686
LAD (choice=Unspecified),0.001941747572815533,0.0026588473665299316,0.08890390417811063,5,0.007416351049676634,-0.0035328559040455686
History of drug treated hypotension,0.001941747572815533,0.004341879567960755,0.1869504831500295,5,0.010881737614399794,-0.006998242468768727
Which of the following vessel(s) are affected (select all that apply): (choice=Obtuse marginal 2),0.0009708737864077665,0.0021709397839803773,0.1869504831500295,5,0.005440868807199897,-0.0034991212343843635
LVEDVI,0.0009708737864077665,0.0021709397839803773,0.1869504831500295,5,0.005440868807199897,-0.0034991212343843635
Mid RCA Degree of Stenosis %,0.0009708737864077665,0.0021709397839803773,0.1869504831500295,5,0.005440868807199897,-0.0034991212343843635
"Distal LAD Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0009708737864077665,0.0021709397839803773,0.1869504831500295,5,0.005440868807199897,-0.0034991212343843635
Mid LAD Degree of Stenosis %,0.0009708737864077665,0.0021709397839803773,0.1869504831500295,5,0.005440868807199897,-0.0034991212343843635
TAPSE (cm),0.0009708737864077665,0.0021709397839803773,0.1869504831500295,5,0.005440868807199897,-0.0034991212343843635
Number of Hypoperfused Segments with Stress,0.0009708737864077665,0.006329322723497715,0.37443422501176327,5,0.014003036754626233,-0.012061289181810701
Cardiac Output,0.0009708737864077665,0.0021709397839803773,0.1869504831500295,5,0.005440868807199897,-0.0034991212343843635
"Dialysis Access (None=0, CVC=1, PD cath=2, AVF=3, AVG=4)",0.0009708737864077665,0.005317694733059863,0.35200000000000004,5,0.011920080740129969,-0.009978333167314437
Mid Obtuse Marginal 2 Degree of Stenosis %,0.0,0.0,0.5,5,0.0,0.0
Posterior Descending Artery (choice=Mid),0.0,0.0,0.5,5,0.0,0.0
Posterior Descending Artery (choice=Proximal),0.0,0.0,0.5,5,0.0,0.0
LAD (choice=Proximal),0.0,0.0,0.5,5,0.0,0.0
Distal Obtuse Marginal 2 Degree of Stenosis %,0.0,0.0,0.5,5,0.0,0.0
"Proximal LAD Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0,0.0,0.5,5,0.0,0.0
Was an FFR or IFR collected (choice=neither).27,0.0,0.0,0.5,5,0.0,0.0
Was an FFR or IFR collected (choice=FFR).1,0.0,0.0,0.5,5,0.0,0.0
"Distal Obtuse Marginal 2 Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0,0.0,0.5,5,0.0,0.0
Was an FFR or IFR collected (choice=IFR).1,0.0,0.0,0.5,5,0.0,0.0
PDA Stenosis,0.0,0.0,0.5,5,0.0,0.0
FFR.1,0.0,0.0,0.5,5,0.0,0.0
IFR.1,0.0,0.0,0.5,5,0.0,0.0
Was an FFR or IFR collected (choice=neither).26,0.0,0.0,0.5,5,0.0,0.0
FFR.2,0.0,0.0,0.5,5,0.0,0.0
