,importance,stddev,p_value,n,p99_high,p99_low
Financial Concerns,0.17281553398058244,0.007362014994224803,3.942636897538145e-07,5,0.187974024607552,0.15765704335361289
Cause of ESKD (choice=Other),0.11456310679611645,0.0687026128687059,0.010160002673470673,5,0.25602273626380345,-0.026896522671570583
Anticoagulation Medication (choice=None),0.07281553398058249,0.004854368932038833,2.356389003572391e-06,5,0.08281074670615929,0.0628203212550057
CCB Medication (choice=Diltiazem),0.06893203883495143,0.031534721881381955,0.004057321460606984,5,0.13386246704489208,0.004001610625010768
Aspirin ,0.060194174757281525,0.0315720631873963,0.006510152417776238,5,0.12520148923241742,-0.004813139717854374
Proximal Obtuse Marginal 2 Degree of Stenosis %,0.05533980582524269,0.12374356768688151,0.1869504831500295,5,0.3101295220103941,-0.19944991035990875
Pre Triglycerides,0.05339805825242716,0.020879430259812193,0.0023132798545247545,5,0.09638909374177476,0.010407022763079553
"Race (White=0, AA=1, Asian=2, Hispanic Latino=3, Other=4)",0.05048543689320386,0.021871612283628748,0.003345699547521808,5,0.09551938888300265,0.005451484903405059
Pre Hemoglobin,0.030097087378640763,0.007200192705918117,0.0003647750374501202,5,0.044922383677365146,0.015271791079916379
Urine Output (mL),0.030097087378640763,0.03540695636662226,0.06506447187928664,5,0.10300049991365941,-0.042806325156377875
LAD (choice=Mid),0.023300970873786374,0.06314412637479264,0.227829769978986,5,0.15331559982405824,-0.10671365807648547
Height (cm),0.021359223300970863,0.007362014994224803,0.0014554051457073666,5,0.036517713927940426,0.006200732674001301
Systolic Blood Pressure,0.021359223300970863,0.012658645446995428,0.009777106360152306,5,0.0474235492374078,-0.004705102635466068
Ejection Fraction,0.01941747572815533,0.005945363453357226,0.000934753800387464,5,0.031659061252273454,0.00717589020403721
Pre Vitamin D,0.0174757281553398,0.01169086852309931,0.014384167613779003,5,0.04154738802937605,-0.006595931718696445
Systolic Blood pressure (rest),0.015533980582524264,0.01923457549141645,0.07262204725885944,5,0.05513823736943614,-0.024070276204387616
Pre HDL-C,0.014563106796116498,0.013294236832649657,0.035241998455109974,5,0.041936124180422,-0.012809910588189009
"Proximal PDA Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.014563106796116498,0.03256409675970566,0.18695048315002946,5,0.08161303210799846,-0.05248681851576546
CCB Medication (choice=None),0.014563106796116498,0.012376260955322288,0.029057348966769835,5,0.040045999161229986,-0.01091978556899699
Which of the following vessel(s) are affected (select all that apply): (choice=LAD),0.014563106796116476,0.06512819351941136,0.321664981590932,5,0.14866295741988048,-0.11953674382764753
History of Kidney Stones,0.013592233009708733,0.013470327112147186,0.043517798813579145,5,0.04132782271332596,-0.014143356693908496
LA max 4ch area,0.012621359223300965,0.007362014994224803,0.009281282250780228,5,0.027779849850270526,-0.0025371314036685966
BMI,0.011650485436893199,0.007362014994224803,0.012021764399686887,5,0.02680897606386276,-0.0035080051900763624
"Electrocardiogr (ECG) Changes (None=0, ST Depression=1, ST Elevation=2)",0.011650485436893199,0.011175596537108092,0.04007833710511091,5,0.03466119316995784,-0.01136022229617144
Pre Calcium,0.011650485436893199,0.014400385411836233,0.07235199930316516,5,0.041301078034341965,-0.01800010716055557
BSA,0.010679611650485431,0.004061456439485802,0.0020905360678201506,5,0.019042206594680235,0.0023170167062906265
Systolic Blood pressure (peak),0.010679611650485431,0.012087281163095851,0.059696702039837304,5,0.0355674906292795,-0.014208267328308634
CCB Medication (choice=lodipine),0.010679611650485431,0.005317694733059863,0.00544984928479681,5,0.021628818604207636,-0.0002695953032367717
"Type (Exercise=0, Pharm=1)",0.010679611650485431,0.01763679817920868,0.12358914575249635,5,0.04699402286793222,-0.025634799566961356
RCA (choice=Mid),0.009708737864077666,0.009081692686344515,0.03756522731261487,5,0.028408068627593316,-0.008990592899437985
"Mid LCx Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.009708737864077666,0.021709397839803773,0.1869504831500295,5,0.054408688071998966,-0.034991212343843635
Cause of ESKD (choice=Diabetes II),0.0087378640776699,0.012565222432567746,0.09746473637766,5,0.03460983073615695,-0.017134102580817153
Days Between Transplant to RHC,0.0087378640776699,0.012087281163095851,0.09065170713797638,5,0.033625743056463965,-0.016150014901124166
LA Volume,0.007766990291262132,0.008122912878971603,0.04965034160686339,5,0.02449218017965174,-0.008958199597127478
Hydralazine  ,0.007766990291262132,0.020190907129209137,0.21909933909916557,5,0.049340347138297075,-0.03380636655577281
RA area,0.007766990291262132,0.007362014994224803,0.038870820473949894,5,0.022925480918231694,-0.007391500335707429
