,importance,stddev,p_value,n,p99_high,p99_low
BNP,0.3747524752475247,0.10056940135924003,0.0005668569695987751,5,0.581826262663045,0.1676786878320044
Diastolic Blood Pressure,0.027227722772277207,0.03782353165825771,0.09137899218267606,5,0.1051068972333933,-0.050651451688838875
BSA,0.016831683168316736,0.009161760160060279,0.007377933573989348,5,0.03569587396686323,-0.0020325076302297636
Pre Total Cholesterol,0.013366336633663312,0.005132782513199845,0.0021658974811463506,5,0.023934806770935256,0.002797866496391367
RVSP,0.008415841584158423,0.0048251457152519665,0.008770233744444637,5,0.018350883302463275,-0.0015192001341464284
Which of the following vessel(s) are affected (select all that apply): (choice=LCx),0.007920792079207928,0.0036713853896513213,0.004248568855841339,5,0.015480225340438688,0.00036135881797716863
Beta Blocker Medications (choice=None),0.006930693069306893,0.004761233678631477,0.015614906963538094,5,0.016734139020851937,-0.0028727528822381507
Which of the following vessel(s) are affected (select all that apply): (choice=RCA),0.00544554455445545,0.004427857381187706,0.02568721542218401,5,0.014562564101813669,-0.003671474992902768
History of UTIs,0.004950495049504955,0.00463076409254201,0.03756522731261487,5,0.014485302320010471,-0.004584312221000562
BMI,0.004455445544554459,0.011793197276803571,0.22289981732672082,5,0.028737801736801457,-0.019826910647692538
Pre Vitamin D,0.003960396039603964,0.0033208930358907796,0.027999999999999973,5,0.010798160700122628,-0.0028773686209147
Diuretic Medications (choice=None),0.002970297029702973,0.003227327923367651,0.05435047566246177,5,0.00961540983032923,-0.003674815770923284
Diuretic Medications (choice=Spironolactone),0.002970297029702973,0.0011069643452969267,0.001941268523480256,5,0.0052495519165425275,0.0006910421428634184
Proximal LCx Degree of Stenosis %,0.002970297029702973,0.0011069643452969267,0.001941268523480256,5,0.0052495519165425275,0.0006910421428634184
"Proximal RCA Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0024752475247524774,0.0,0.5,5,0.0024752475247524774,0.0024752475247524774
RCA (choice=Proximal),0.0024752475247524774,0.0017502643098676934,0.017054711583704807,5,0.006079065929993643,-0.0011285708804886878
Days Between Transplant to Nuc Stress Test,0.0024752475247524553,0.00580496999978143,0.19717414165456423,5,0.01442776098751427,-0.00947726593800936
Weight (kg),0.001980198019801982,0.004427857381187706,0.18695048315002946,5,0.0110972175671602,-0.007136821527556236
ACEi or ARB Medications (choice=None),0.001980198019801982,0.0011069643452969267,0.008065044950046266,5,0.0042594529066415365,-0.0002990568670375726
LVPWd,0.001980198019801982,0.003227327923367651,0.12099076528401038,5,0.00862531082042824,-0.004664914780824275
Days from Pretransplant LHC to Transplant,0.0014851485148514865,0.006454655846735302,0.31701358059813844,5,0.014775374116104,-0.011805077086401028
Anticoagulation Medication (choice=None),0.0014851485148514865,0.0048251457152519665,0.2645666501909289,5,0.011420190233156338,-0.008449893203453365
TR Peak Gradient,0.0014851485148514865,0.007131118955885122,0.3328317130804903,5,0.01616822100755725,-0.013197923977854275
Financial Concerns,0.0014851485148514865,0.0013557489047157588,0.035241998455109974,5,0.004276654248102448,-0.0013063572183994745
Urine Output (mL),0.0014851485148514865,0.009360232871875769,0.37033213935630327,5,0.020757997370210477,-0.017787700340507504
METs,0.000990099009900991,0.0013557489047157588,0.08890390417811055,5,0.003781604743151952,-0.00180140672334997
"RV Function (severely reduced=0, mildly reduced=2, normal=3)",0.000990099009900991,0.002213928690593853,0.18695048315002946,5,0.0055486087835801,-0.003568410763778118
Diastolic Blood pressure (rest),0.000990099009900991,0.002822216398760245,0.23831033363642065,5,0.006801081582124293,-0.004820883562322311
Was an FFR or IFR collected (choice=neither).21,0.0004950495049504955,0.0011069643452969267,0.1869504831500295,5,0.00277430439179005,-0.001784205381889059
Pre Hemoglobin,0.0004950495049504955,0.003227327923367651,0.37443422501176327,5,0.0071401623055767525,-0.0061500632956757615
Aspirin ,0.0004950495049504955,0.0020709406597378124,0.3106541475187484,5,0.0047591449467924065,-0.0037690459368914155
LAD (choice=Mid),0.0004950495049504955,0.0011069643452969267,0.1869504831500295,5,0.00277430439179005,-0.001784205381889059
Obtuse Marginal 1 (choice=Proximal),0.0004950495049504955,0.0011069643452969265,0.18695048315002946,5,0.00277430439179005,-0.001784205381889059
