,importance,stddev,p_value,n,p99_high,p99_low
Nitrates,0.04306930693069302,0.01930058286100782,0.0037723832791583386,5,0.08280947380391233,0.0033291400574737007
Anticoagulation Medication (choice=None),0.042079207920792006,0.012742116511122538,0.0008965233164113193,5,0.06831540193195937,0.015843013909624646
Urine Output (mL),0.037623762376237546,0.011396895478436978,0.0008976944458320006,5,0.061090127688174775,0.014157397064300314
Anticoagulation Medication (choice=Apixaban),0.02722772277227714,0.009094640134095966,0.0012950424696439608,5,0.045953712509665776,0.008501733034888506
RCA (choice=Mid),0.025742574257425654,0.002822216398760245,1.7061083651572317e-05,5,0.03155355682964896,0.01993159168520235
Systolic Blood Pressure,0.01980198019801973,0.013097778767646458,0.01388480634022139,5,0.04677048771114463,-0.00716652731510517
Days from Pretransplant to Transplant,0.017821782178217747,0.013936325010157647,0.022976676358868384,5,0.046516867994613936,-0.010873303638178438
Residual Renal Function,0.017326732673267276,0.018932003144527625,0.05506554701970209,5,0.056307988815940804,-0.021654523469406255
Which of the following vessel(s) are affected (select all that apply): (choice=RCA),0.014851485148514842,0.006778744523578763,0.004024946550418818,5,0.028809013814769587,0.0008939564822600995
Financial Concerns,0.012871287128712772,0.0011069643452969267,6.500652883360929e-06,5,0.015150542015552326,0.010592032241873217
RA area,0.01138613861386133,0.009360232871875724,0.026492419282551256,5,0.030658987469220227,-0.007886710241497567
Days from Pretransplant LHC to Transplant,0.009405940594059414,0.008466649196280734,0.033954680901135424,5,0.02683888831072932,-0.00802700712261049
"Proximal LAD Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.007920792079207928,0.005909572468471947,0.020028692807382658,5,0.02008868347076328,-0.004247099312347421
Antiplatelet (choice=None),0.005940594059405923,0.0013557489047157285,0.000304092472231646,5,0.008732099792656822,0.003149088326155025
HBA1C,0.005940594059405902,0.017379692754001894,0.24363891263927467,5,0.0417256216527773,-0.029844433533965497
Pre PTH,0.00544554455445545,0.007088030229344735,0.08047150534851644,5,0.02003989676366507,-0.009148807654754168
Proximal LAD Degree of Stenosis %,0.004950495049504955,0.0017502643098676934,0.0015991010761676528,5,0.00855431345474612,0.0013466766442637897
Proximal LCx Degree of Stenosis %,0.004950495049504955,0.003500528619735387,0.017054711583704807,5,0.012158131859987285,-0.0022571417609773756
Days from Echo to Transplant,0.004455445544554459,0.004761233678631525,0.05226999988918769,5,0.014258891496099602,-0.005348000406990683
RCA (choice=Distal),0.004455445544554459,0.004067246714147276,0.035241998455109974,5,0.012829962744307342,-0.003919071655198423
Age,0.004455445544554437,0.008096746155344614,0.1429693152139317,5,0.02112675778733352,-0.012215866698224649
Days Between Transplant and Stress Echo,0.004455445544554415,0.008466649196280707,0.15227939234026885,5,0.021888393261224263,-0.012977502172115435
Resting Heart Rate,0.004455445544554371,0.007905306644886752,0.13804365943247332,5,0.020732581189325493,-0.011821690100216753
Systemic Vascular Resistance,0.0034653465346534463,0.008320661541570065,0.2022164320461071,5,0.020597703652510266,-0.013667010583203373
ACEi or ARB Medications (choice=Losartan),0.002970297029702973,0.007905306644886796,0.22404993658272146,5,0.019247432674474187,-0.01330683861506824
RCA (choice=Proximal),0.0024752475247524774,0.0,0.5,5,0.0024752475247524774,0.0024752475247524774
Wall motion abnormalities,0.0024752475247524774,0.0017502643098676934,0.017054711583704807,5,0.006079065929993643,-0.0011285708804886878
Hydralazine  ,0.0024752475247524774,0.0,0.5,5,0.0024752475247524774,0.0024752475247524774
Systolic Blood pressure (rest),0.0024752475247524774,0.0055348217264846325,0.18695048315002946,5,0.01387152195895025,-0.008921026909445295
Anticoagulation Medication (choice=Warfarin),0.001980198019801982,0.0011069643452969267,0.008065044950046266,5,0.0042594529066415365,-0.0002990568670375726
Beta Blocker Medications (choice=Metoprolol),0.001980198019801982,0.016915197587395944,0.40321357737166713,5,0.03680882364512626,-0.0328484276055223
Mid RCA Degree of Stenosis %,0.001980198019801982,0.0020709406597378124,0.04965034160686339,5,0.006244293461643893,-0.002283897422039929
LCx (choice=Proximal),0.001980198019801982,0.0020709406597378124,0.04965034160686339,5,0.006244293461643893,-0.002283897422039929
"Type (Exercise=0, Pharm=1)",0.001980198019801982,0.0020709406597378124,0.04965034160686339,5,0.006244293461643893,-0.002283897422039929
