,model,score_test,accuracy,roc_auc,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,ExtraTreesEntr_BAG_L1,0.8495145631067961,0.9809523809523809,0.8495145631067961,0.6300456300456301,0.047213077545166016,0.04600238800048828,0.2729041576385498,0.047213077545166016,0.04600238800048828,0.2729041576385498,1,True,9
1,ExtraTreesGini_BAG_L1,0.8470873786407768,0.9809523809523809,0.8470873786407768,0.6437346437346437,0.043924570083618164,0.04500102996826172,0.30299878120422363,0.043924570083618164,0.04500102996826172,0.30299878120422363,1,True,8
2,RandomForestEntr_BAG_L1,0.8300970873786407,0.9809523809523809,0.8300970873786407,0.6888381888381888,0.032000064849853516,0.04800128936767578,0.33299899101257324,0.032000064849853516,0.04800128936767578,0.33299899101257324,1,True,6
3,RandomForestGini_BAG_L1,0.6966019417475728,0.9809523809523809,0.6966019417475728,0.6407511407511407,0.056999921798706055,0.04600214958190918,0.29700350761413574,0.056999921798706055,0.04600214958190918,0.29700350761413574,1,True,5
4,LightGBMXT_BAG_L1,0.6213592233009708,0.9809523809523809,0.6213592233009708,0.714110214110214,0.025997400283813477,0.020998477935791016,0.40199851989746094,0.025997400283813477,0.020998477935791016,0.40199851989746094,1,True,3
5,WeightedEnsemble_L2,0.5970873786407767,0.9809523809523809,0.5970873786407767,0.7679887679887679,0.1269979476928711,0.14798450469970703,13.72573208808899,0.0009992122650146484,0.0,0.16099977493286133,2,True,13
6,CatBoost_BAG_L1,0.5048543689320388,0.9809523809523809,0.5048543689320388,0.6770796770796771,0.03400015830993652,0.03698587417602539,11.206739664077759,0.03400015830993652,0.03698587417602539,11.206739664077759,1,True,7
7,NeuralNetTorch_BAG_L1,0.5048543689320388,0.9809523809523809,0.5048543689320388,0.5507195507195508,0.283998966217041,0.2015063762664795,1.9575021266937256,0.283998966217041,0.2015063762664795,1.9575021266937256,1,True,11
8,KNeighborsUnif_BAG_L1,0.4563106796116505,0.9809523809523809,0.4563106796116505,0.5349245349245348,0.020999431610107422,0.052999019622802734,0.01199960708618164,0.020999431610107422,0.052999019622802734,0.01199960708618164,1,True,1
9,KNeighborsDist_BAG_L1,0.4563106796116505,0.9809523809523809,0.4563106796116505,0.5328185328185328,0.02600240707397461,0.018000125885009766,0.01900005340576172,0.02600240707397461,0.018000125885009766,0.01900005340576172,1,True,2
10,LightGBM_BAG_L1,0.4029126213592233,0.9809523809523809,0.4029126213592233,0.684099684099684,0.018000125885009766,0.01999831199645996,0.4259984493255615,0.018000125885009766,0.01999831199645996,0.4259984493255615,1,True,4
11,XGBoost_BAG_L1,0.3252427184466019,0.9809523809523809,0.3252427184466019,0.6598806598806599,0.1080009937286377,0.02299809455871582,1.011997938156128,0.1080009937286377,0.02299809455871582,1.011997938156128,1,True,10
12,LightGBMLarge_BAG_L1,0.23300970873786409,0.9809523809523809,0.23300970873786409,0.5868725868725868,0.016000986099243164,0.022000551223754883,1.1969966888427734,0.016000986099243164,0.022000551223754883,1.1969966888427734,1,True,12
