,model,score_test,accuracy,roc_auc,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,XGBoost_BAG_L1,0.865979381443299,0.9238095238095239,0.865979381443299,0.6924990576705616,0.10700058937072754,0.024001359939575195,1.1009979248046875,0.10700058937072754,0.024001359939575195,1.1009979248046875,1,True,10
1,LightGBM_BAG_L1,0.8260309278350515,0.9238095238095239,0.8260309278350515,0.7307199396909159,0.01999950408935547,0.026020526885986328,0.47299885749816895,0.01999950408935547,0.026020526885986328,0.47299885749816895,1,True,4
2,LightGBMLarge_BAG_L1,0.8170103092783505,0.9238095238095239,0.8170103092783505,0.6859781379570298,0.020002126693725586,0.02200007438659668,1.337749719619751,0.020002126693725586,0.02200007438659668,1.337749719619751,1,True,12
3,LightGBMXT_BAG_L1,0.8105670103092784,0.9238095238095239,0.8105670103092784,0.7408970976253297,0.02500009536743164,0.018996477127075195,0.4119997024536133,0.02500009536743164,0.018996477127075195,0.4119997024536133,1,True,3
4,CatBoost_BAG_L1,0.8079896907216495,0.9238095238095239,0.8079896907216495,0.7378062570674708,0.03700089454650879,0.039000511169433594,10.933031558990479,0.03700089454650879,0.039000511169433594,10.933031558990479,1,True,7
5,WeightedEnsemble_L2,0.8067010309278351,0.9238095238095239,0.8067010309278351,0.7733132303053146,0.1499803066253662,0.24001669883728027,13.673797845840454,0.003000020980834961,0.0,0.16101932525634766,2,True,13
6,RandomForestEntr_BAG_L1,0.7615979381443299,0.9238095238095239,0.7615979381443299,0.6608744817188089,0.03197765350341797,0.04900002479553223,0.3469986915588379,0.03197765350341797,0.04900002479553223,0.3469986915588379,1,True,6
7,RandomForestGini_BAG_L1,0.7429123711340206,0.9238095238095239,0.7429123711340206,0.6429325292122126,0.056021690368652344,0.04500007629394531,0.29599928855895996,0.056021690368652344,0.04500007629394531,0.29599928855895996,1,True,5
8,KNeighborsDist_BAG_L1,0.604381443298969,0.9142857142857143,0.604381443298969,0.6819449679607991,0.029999971389770508,0.01699995994567871,0.018000125885009766,0.029999971389770508,0.01699995994567871,0.018000125885009766,1,True,2
9,KNeighborsUnif_BAG_L1,0.595360824742268,0.9142857142857143,0.595360824742268,0.6781379570297776,0.013000011444091797,0.08499908447265625,0.009999990463256836,0.013000011444091797,0.08499908447265625,0.009999990463256836,1,True,1
10,NeuralNetTorch_BAG_L1,0.5708762886597938,0.9238095238095239,0.5708762886597938,0.5753486618921975,0.2631251811981201,0.19899892807006836,3.2276182174682617,0.2631251811981201,0.19899892807006836,3.2276182174682617,1,True,11
11,ExtraTreesGini_BAG_L1,0.5541237113402062,0.9238095238095239,0.5541237113402062,0.5693931398416886,0.043172359466552734,0.045000314712524414,0.26665282249450684,0.043172359466552734,0.045000314712524414,0.26665282249450684,1,True,8
12,ExtraTreesEntr_BAG_L1,0.5148195876288659,0.9238095238095239,0.5148195876288659,0.5446664153788164,0.0460052490234375,0.04600024223327637,0.31099867820739746,0.0460052490234375,0.04600024223327637,0.31099867820739746,1,True,9
