,importance,stddev,p_value,n,p99_high,p99_low
BNP,0.16039603960396032,0.025925190045101323,7.91254153530676e-05,5,0.2137763642310298,0.10701571497689084
Systolic Blood Pressure,0.05792079207920786,0.0194586574327065,0.0013231547220496846,5,0.09798643668037751,0.0178551474780382
Aspirin ,0.04158415841584151,0.027474132525765586,0.013835634009227136,5,0.0981537770192589,-0.014985460187575877
Diastolic Blood pressure (rest),0.026732673267326645,0.010559766835495822,0.002400354674043077,5,0.0484753791331006,0.004989967401552688
BMI,0.02524752475247516,0.009161760160060279,0.0017602483359614952,5,0.044111715551021655,0.00638333395392866
ACEi or ARB Medications (choice=None),0.024257425742574168,0.015596023764379583,0.01270032849466935,5,0.056369854233387896,-0.00785500274823956
Was a Pre-Transplant Left Heart Cath Performed,0.018316831683168267,0.012326633265335363,0.014652305209311678,5,0.04369753994867111,-0.007063876582334573
LA min 4ch length,0.018316831683168222,0.002822216398760245,6.554171440166508e-05,5,0.024127814255391525,0.01250584911094492
Pre Triglycerides,0.016831683168316736,0.008096746155344624,0.004836566215476959,5,0.033502995411095846,0.00016037092553762566
LAD (choice=Mid),0.015841584158415745,0.00332089303589078,0.00021876532301934426,5,0.02267934881893441,0.009003819497897081
Financial Concerns,0.014851485148514754,0.0017502643098676934,2.2725647862729132e-05,5,0.01845530355375592,0.011247666743273588
Pre Calcium,0.014356435643564258,0.011530509602823888,0.024805343719812863,5,0.03809791428435759,-0.009385042997229077
CCB Medication (choice=lodipine),0.013861386138613785,0.01087419932499444,0.023190281355648965,5,0.03625151284618425,-0.008528740568956675
ACEi or ARB Medications (choice=Losartan),0.01336633663366329,0.0037538987346789447,0.0006740854878848881,5,0.021095666012761548,0.00563700725456503
LA min 4ch area,0.013366336633663267,0.0033208930358907796,0.0004219162588006524,5,0.02020410129418193,0.0065285719731446035
Systolic Blood pressure (rest),0.012871287128712794,0.00536620875957395,0.002916530322621772,5,0.023920385133562608,0.0018221891238629807
HBA1C,0.012871287128712794,0.008096746155344588,0.011849767325905917,5,0.029542599371491826,-0.003800025114066236
Age,0.012871287128712794,0.008466649196280693,0.013646878697604106,5,0.03030423484538261,-0.004561660587957024
Pre eGFR,0.012376237623762276,0.0017502643098676934,4.674637319997395e-05,5,0.01598005602900344,0.008772419218521111
Are there notable LHC findings,0.011881188118811826,0.009962679107672307,0.028000000000000157,5,0.03239448210036776,-0.008632105862744103
Wall motion abnormalities,0.01188118811881178,0.010115255812724043,0.029201727233004578,5,0.032708639644903406,-0.008946263407279841
LA min 2ch length,0.011386138613861285,0.002822216398760245,0.0004180930853416346,5,0.017197121186084588,0.005575156041637983
