,importance,stddev,p_value,n,p99_high,p99_low
BNP,0.3201030927835051,0.043990323117761916,4.174387805593671e-05,5,0.41067977609385625,0.229526409473154
Resting Heart Rate,0.015463917525773252,0.004075100077536557,0.0005287823079153284,5,0.02385460490928968,0.0070732301422568224
Diastolic Blood Pressure,0.011597938144329944,0.008974476982721743,0.02228759170517367,5,0.0300765102922078,-0.006880634003547914
BMI,0.004381443298969101,0.002512060398146677,0.00877023374444488,5,0.009553810379117574,-0.0007909237811793727
Urine Output (mL),0.0038659793814433295,0.003156558946885573,0.025989847100963182,5,0.010365377881361784,-0.002633419118475126
Cause of ESKD (choice=Other),0.0038659793814433074,0.0024108617182822148,0.011525182506622373,5,0.008829976981036455,-0.0010980182181498407
LVESVI,0.0030927835051546503,0.002156340274572395,0.016338961668402117,5,0.007532717934289081,-0.0013471509239797804
Beta Blocker Medications (choice=Carvedilol),0.0030927835051546503,0.004426691762195296,0.09662851104862634,5,0.012207403026896931,-0.00602183601658763
Cause of ESKD (choice=Essential Hypertension),0.003092783505154606,0.003103503757420665,0.04488793539190445,5,0.00948294063666417,-0.003297373626354958
Diastolic Blood pressure (peak),0.003092783505154584,0.0029667176374281548,0.040078337105111855,5,0.009201296125014477,-0.0030157291147053095
History of UTIs,0.002577319587628857,0.002232024236557888,0.030599409818758576,5,0.007173088340554939,-0.002018449165297225
"BP response to exercise (hypotension=0, normal=1, hypertension=2, flat=3)",0.0025773195876288126,0.004556100394243241,0.13728831454742924,5,0.011958393271375184,-0.006803754096117558
Days from Pretransplant to Transplant,0.002319587628865971,0.0051060857618966185,0.18358581268867272,5,0.012833088786216256,-0.008193913528484314
Ejection Fraction,0.002319587628865949,0.003208737009790941,0.0906517071379803,5,0.008926421481484028,-0.0042872462237521294
Systolic Blood Pressure,0.002319587628865949,0.003908698682500875,0.12759807351180155,5,0.010367652240092215,-0.005728476982360318
Pre Triglycerides,0.002319587628865949,0.0033356131715321577,0.09746473637766215,5,0.009187661252124106,-0.004548485994392209
LA max 2ch length,0.0020618556701030855,0.0007058280380221188,0.0014189229633672243,5,0.0035151653559708476,0.0006085459842353233
LA max 4ch area,0.0020618556701030633,0.0019543493412504218,0.03887082047395243,5,0.006085887975716164,-0.0019621766355100378
Diuretic Medications (choice=Spironolactone),0.0018041237113401998,0.0011526123595359701,0.012448081730111376,5,0.00417736849042055,-0.0005691210677401509
