,importance,stddev,p_value,n,p99_high,p99_low
BNP,0.08069306930693074,0.07241103848354388,0.03367660240173821,5,0.22978839837145817,-0.0684022597575967
Days from Pretransplant to Transplant,0.05792079207920796,0.045189370519191724,0.022825089861682833,5,0.15096633056169934,-0.035124746403283405
Diuretic Medications (choice=Furosemide),0.03861386138613865,0.02942318726162223,0.021310415210739828,5,0.09919661062948412,-0.021968887857206833
Days from Pretransplant LHC to Transplant,0.031188118811881216,0.03837032876068463,0.07164487102109915,5,0.11019315606443343,-0.047816918440671
Days Between Transplant and Stress Echo,0.02871287128712874,0.0295789490025538,0.047873148622213604,5,0.08961633610790837,-0.0321905935336509
TR Peak Gradient,0.014851485148514865,0.012621335429685122,0.02905734896676982,5,0.040838989243630636,-0.011136018946600903
LA Volume,0.011881188118811892,0.01718470787892059,0.09850391386225489,5,0.04726473915941351,-0.023502362921789727
Pre PTH,0.00990099009900991,0.008020718686148348,0.025417970427930345,5,0.026415760731902587,-0.0066137805338827675
History of Kidney Biopsy,0.008910891089108919,0.006212821979213438,0.016338961668401486,5,0.021703177414634657,-0.0038813952364168177
Antiplatelet (choice=Clopidogrel),0.008415841584158423,0.002822216398760245,0.0013142725538403761,5,0.014226824156381726,0.0026048590119351215
RA area,0.008415841584158423,0.003753898734678989,0.0037108943859971077,5,0.016145170963256773,0.0006865122050600725
"Echo Timepoint (initial transplant evaluation=0, surveillance on the waiting list=1, clinical evaluation=2)",0.008415841584158423,0.0101454958078808,0.06860799999999996,5,0.029305557678238957,-0.01247387450992211
Systolic Blood pressure (peak),0.007920792079207928,0.009650291430503933,0.0701786933094972,5,0.02779087551581763,-0.011949291357401776
LV Mass,0.007425742574257432,0.003913709975455919,0.0066177997818413475,5,0.015484125506941563,-0.0006326403584266983
Are there notable LHC findings,0.007425742574257432,0.003913709975455919,0.0066177997818413475,5,0.015484125506941563,-0.0006326403584266983
"Dialysis Access (None=0, CVC=1, PD cath=2, AVF=3, AVG=4)",0.006435643564356464,0.007131118955885078,0.0568789024143116,5,0.02111871605706214,-0.008247428928349211
Beta Blocker Medications (choice=Carvedilol),0.005940594059405946,0.002822216398760245,0.004630848379757209,5,0.011751576631629249,0.00012961148718264402
Was a Pre-Transplant Left Heart Cath Performed,0.005940594059405946,0.002822216398760245,0.004630848379757209,5,0.011751576631629249,0.00012961148718264402
Cause of ESKD (choice=Diabetes II),0.00544554455445545,0.003227327923367651,0.009777106360152306,5,0.012090657355081708,-0.0011995682461708066
"BP response to exercise (hypotension=0, normal=1, hypertension=2, flat=3)",0.004950495049504955,0.005804969999781477,0.06460149231970504,5,0.016903008512266865,-0.007002018413256957
Which of the following vessel(s) are affected (select all that apply): (choice=LAD),0.004455445544554459,0.005909572468471947,0.08355165786629902,5,0.01662333693610981,-0.00771244584700089
"AR severity (severe=0, moderate=1, mild=2, none or trace=3)",0.004455445544554459,0.003227327923367651,0.01834099470022054,5,0.011100558345180717,-0.0021896672560717976
Pre LDL-C,0.004455445544554459,0.0020709406597378124,0.004290459360962386,5,0.00871954098639637,0.0001913501027125484
Days from Echo to Transplant,0.004455445544554459,0.009161760160060279,0.16899459384521526,5,0.02331963634310096,-0.01440874525399204
Which of the following vessel(s) are affected (select all that apply): (choice=RCA),0.003960396039603964,0.002213928690593853,0.008065044950046259,5,0.008518905813283073,-0.0005981137340751452
Family history of CKD,0.003960396039603964,0.0013557489047157588,0.001418922963367223,5,0.006751901772854925,0.001168890306353003
Cause of ESKD (choice=Other),0.003960396039603964,0.002213928690593853,0.008065044950046259,5,0.008518905813283073,-0.0005981137340751452
Antiplatelet (choice=None),0.003960396039603964,0.002213928690593853,0.008065044950046259,5,0.008518905813283073,-0.0005981137340751452
"MR severity (severe=0, moderate=1, mild=2, none or trace=3)",0.0034653465346534684,0.002822216398760245,0.02580297890558736,5,0.009276329106876771,-0.0023456360375698334
LVPWd,0.0034653465346534684,0.002822216398760245,0.02580297890558736,5,0.009276329106876771,-0.0023456360375698334
ACEi or ARB Medications (choice=Losartan),0.0034653465346534684,0.0022139286905938534,0.012448081730111376,5,0.008023856308332578,-0.0010931632390256407
