,importance,stddev,p_value,n,p99_high,p99_low
ca,0.040697674,0.025212426,0.011283907,5,0.092610408,-0.011215059
thal,0.033042636,0.012733126,0.002193707,5,0.059260318,0.006824953
cp,0.017344961,0.00709915,0.002729239,5,0.031962208,0.002727714
sex,0.010465116,0.007009304,0.014437748,5,0.024897371,-0.003967138
exang,0.004554264,0.002338666,0.006057285,5,0.00936961,-0.000261083
oldpeak,0.003100775,0.00621025,0.163379966,5,0.015887766,-0.009686216
age,0.002228682,0.005988968,0.226069814,5,0.01456005,-0.010102685
slope,-0.001065891,0.004677333,0.681408801,5,0.008564801,-0.010696584
chol,-0.001453488,0.005608448,0.703338564,5,0.010094384,-0.013001361
trestbps,-0.001647287,0.003537154,0.821745123,5,0.005635761,-0.008930335
restecg,-0.001647287,0.005572759,0.727621051,5,0.0098271,-0.013121674
thalach,-0.002228682,0.005614723,0.787541607,5,0.00933211,-0.013789474
fbs,-0.002325581,0.00327528,0.906226073,5,0.004418265,-0.009069428
