,importance,stddev,p_value,n,p99_high,p99_low
Diastolic Blood Pressure,0.12367647058823528,0.04768270385097505,0.0021976395248465195,5,0.22185581686239741,0.02549712431407314
BNP,0.043823529411764706,0.015334452610093748,0.0015390546293519802,5,0.07539737928060636,0.01224967954292306
Pre Vitamin D,0.012279411764705862,0.022120929727453123,0.14116579082534167,5,0.057826711817272336,-0.033267888287860606
Days from Pretransplant LHC to Transplant,0.010147058823529398,0.01502997653480133,0.10282501761966623,5,0.04109398824503738,-0.020799870597978578
Days from Pretransplant to Transplant,0.00948529411764707,0.008604040905074451,0.03465550958886149,5,0.02720113326167846,-0.008230545026384319
HBA1C,0.008161764705882391,0.007959367780617267,0.041793529815066496,5,0.024550212976326945,-0.008226683564562165
Proximal Diagonal 1 Degree of Stenosis %,0.007573529411764724,0.009045163736728121,0.06723932713836628,5,0.02619764656313648,-0.011050587739607034
Diastolic Blood pressure (rest),0.006323529411764594,0.0012575464247416822,0.00017818800766028167,5,0.008912834881446417,0.003734223942082772
"Proximal Diagonal 1 Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.004632352941176476,0.0031368719128972433,0.01493732764423042,5,0.011091215566009234,-0.0018265096836562822
Pre Triglycerides,0.004558823529411726,0.0029708976251230576,0.013252846058400169,5,0.010675942801708995,-0.0015582957428855416
Systolic Blood Pressure,0.0041911764705882424,0.002501621446500496,0.01000586181528108,5,0.009342049605015584,-0.0009596966638391003
Pre LDL-C,0.004044117647058832,0.003339320243489832,0.026823725564796563,5,0.010919824182715018,-0.0028315888885973558
Age,0.003602941176470598,0.005596211413083927,0.11169370614015044,5,0.015125617823871958,-0.00791973547093076
History of Gout,0.003529411764705914,0.0008463870906780462,0.0003681797264179219,5,0.0052721344827247945,0.001786689046687034
"Race (White=0, AA=1, Asian=2, Hispanic Latino=3, Other=4)",0.003382352941176414,0.001174170545784585,0.0014944503521076595,5,0.005799986323708462,0.0009647195586443662
Was an FFR or IFR collected (choice=neither).13,0.0030147058823529528,0.0016317897809686145,0.007240465226042683,5,0.006374583595098907,-0.0003451718303930022
Are there notable LHC findings,0.0026470588235294025,0.0013854002706924344,0.006462653487223587,5,0.005499617129151769,-0.00020549948209296369
Systolic Blood pressure (rest),0.0026470588235294025,0.0013607908473031098,0.006080073393858546,5,0.005448945986254772,-0.00015482833919596654
History of drug treated hypotension,0.0026470588235294025,0.0007970398304661295,0.0008775862659704032,5,0.004288174850720328,0.0010059427963384773
Ejection Fraction,0.0025000000000000135,0.0061044912985310125,0.20580609049399248,5,0.015069231956711511,-0.010069231956711482
Residual Renal Function,0.002426470588235241,0.0025284924800072443,0.04921977496276374,5,0.00763267155205013,-0.0027797303755796483
Pericardial Effusion,0.0022058823529411686,0.001819760098641855,0.026754148425459517,5,0.005952793547802211,-0.0015410288419198735
"Dialysis Access (None=0, CVC=1, PD cath=2, AVF=3, AVG=4)",0.0022058823529411465,0.002190510163200913,0.043737264733535126,5,0.006716173055039746,-0.0023044083491574525
Proximal PDA Degree of Stenosis %,0.0021323529411765296,0.001502412995713469,0.016870320075314166,5,0.005225842064904937,-0.0009611361825518773
History of UTIs,0.002058823529411713,0.0014843109733960582,0.018083305707454107,5,0.005115040338992034,-0.0009973932801686084
"Test Time Point (initial transplant evaluation=0, surveillance on the waiting list=1, clinical evaluation=2)",0.001985294117647074,0.001289388082113913,0.013111872030190931,5,0.004640161999956794,-0.0006695737646626463
TAPSE (cm),0.0019852941176470296,0.0013657482074269172,0.015681669831664982,5,0.004797388553385316,-0.0008268003180912573
Target HR achieved,0.0018382352941177516,0.0011626020809442528,0.012055055275693132,5,0.00423204904765038,-0.0005555784594148765
Which of the following vessel(s) are affected (select all that apply): (choice=LAD),0.0018382352941176626,0.001927957441489274,0.0499909836767088,5,0.0058079263133477416,-0.002131455725112416
METs,0.0017647058823530015,0.0021812348491458155,0.07235199930316222,5,0.006255898584613691,-0.002726486819907688
Clonidine,0.0015441176470588846,0.0006576670522057933,0.0031486003397457763,5,0.0028982631974752687,0.00018997209664250027
Which of the following vessel(s) are affected (select all that apply): (choice=Diagonal 2),0.0014705882352941124,0.0011331643387811298,0.022016886295814636,5,0.0038037892708400346,-0.0008626128002518097
"MR severity (severe=0, moderate=1, mild=2, none or trace=3)",0.001397058823529429,0.0026306682088232465,0.15036389291231872,5,0.0068136410251951164,-0.004019523378136258
"Proximal LAD Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.001397058823529429,0.0018637929199466319,0.08451250946969759,5,0.005234634206055273,-0.0024405165589964153
LAD (choice=Distal),0.0013235294117647455,0.0009227867939714346,0.016338961668401507,5,0.003223560174820829,-0.0005765013512913381
LAD (choice=Proximal),0.0013235294117647455,0.0012629091203909585,0.03954185157558175,5,0.003923876745908758,-0.0012768179223792676
"Type (Exercise=0, Pharm=1)",0.0013235294117647455,0.0021843309966930765,0.12346196446014353,5,0.005821097124618552,-0.003174038301089062
RVSP,0.0013235294117647455,0.0010591809037417445,0.024552014767100908,5,0.003504397532004833,-0.0008573387084753418
OSA,0.0013235294117647013,0.001059180903741756,0.02455201476710401,5,0.0035043975320048124,-0.0008573387084754099
LA max 4ch length,0.0012500000000000178,0.0010906174245728841,0.031224800103079712,5,0.003495596351130314,-0.0009955963511302783
LA max 2ch length,0.0012500000000000178,0.001938445048009423,0.11139031626355227,5,0.005241285146009209,-0.002741285146009174
Diagonal 1 (choice=Proximal),0.00117647058823529,0.002617791635135007,0.1858971815388247,5,0.006566539746703731,-0.0042135985702331505
Was an FFR or IFR collected (choice=neither).6,0.00117647058823529,0.0014095801112265543,0.06770647476404523,5,0.004078815519718321,-0.0017258743432477413
Diastolic Blood pressure (peak),0.0011764705882352678,0.003292443114299699,0.23452194827665523,5,0.007955656466978192,-0.005602715290507657
Was a Pre-Transplant Left Heart Cath Performed,0.0011764705882352454,0.0007071832375614785,0.01023793721045822,5,0.002632570648685398,-0.0002796294722149067
Height (cm),0.0011029411764706064,0.001559794370264503,0.0945018292275915,5,0.004314579343494471,-0.002108696990553259
LVEF,0.0011029411764705622,0.0012467518351333988,0.05952727203032626,5,0.0036700204369518453,-0.001464138084010721
"RV Function (severely reduced=0, mildly reduced=2, normal=3)",0.0010294117647059232,0.0004793531180295707,0.004317896303774038,5,0.0020164064600929838,4.2417069318862605e-05
Anticoagulation Medication (choice=Apixaban),0.0010294117647059232,0.00016441676305147936,7.550570111093224e-05,5,0.001367948152310083,0.0006908753771017633
"Proximal PDA Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0010294117647058787,0.001433352109530725,0.09178343002763831,5,0.003980703569261131,-0.0019218800398493735
Pre eGFR,0.0010294117647058343,0.006880011542397994,0.3773791726717441,5,0.015195450622368316,-0.013136627092956647
Which of the following vessel(s) are affected (select all that apply): (choice=RCA),0.0010294117647057898,0.002086214846928093,0.16589325835176155,5,0.005324956969084192,-0.0032661334396726117
Distal LCx Degree of Stenosis %,0.0009558823529412397,0.0013407781271184366,0.09306241170480974,5,0.0037165630482011783,-0.001804798342318699
Which of the following vessel(s) are affected (select all that apply): (choice=Diagonal 1),0.0009558823529411953,0.0010267823561595012,0.05291164184246528,5,0.003070041415913928,-0.0011582767100315377
LAD (choice=Mid),0.0009558823529411953,0.001365748207426947,0.09631566683843384,5,0.003767976788679544,-0.0018562120827971536
"Echo Timepoint (initial transplant evaluation=0, surveillance on the waiting list=1, clinical evaluation=2)",0.0009558823529411508,0.0012358629642626603,0.07938822604590226,5,0.003500541277799394,-0.0015887765719170925
"Distal LCx Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0008823529411765118,0.0014380593540888372,0.12099076528400361,5,0.003843337027337951,-0.002078631144984927
LVEDVI,0.0008823529411764675,0.0004932502891544464,0.008065044950050762,5,0.0018979621039889641,-0.0001332562216360293
Was an FFR or IFR collected (choice=neither).1,0.0008823529411764675,0.0005575643708862146,0.012021764399691909,5,0.0020303856871897504,-0.0002656798048368156
Cause of ESKD (choice=Other),0.0008823529411764675,0.0008463870906780125,0.04007833710510797,5,0.0026250756591952784,-0.0008603697768423433
CCB Medication (choice=None),0.000882352941176423,0.0008054743492723103,0.035241998455115796,5,0.0025408357591667134,-0.0007761298768138672
LA min 2ch area,0.000808823529411784,0.0015684359564486685,0.1565401977730552,5,0.00403825484182826,-0.002420607783004692
Which of the following vessel(s) are affected (select all that apply): (choice=Obtuse marginal 2),0.000808823529411784,0.0008777453225229981,0.05419621901112808,5,0.002616113280216244,-0.0009984662213926758
