,importance,stddev,p_value,n,p99_high,p99_low
Nitrates,0.06278145695364246,0.0019533617488413776,1.1231197007214761e-07,5,0.06680345579283536,0.058759458114449555
Cause of ESKD (choice=Diabetes I),0.061721854304635795,0.002976451000562161,6.469562639671499e-07,5,0.06785040805371798,0.05559330055555361
Diastolic Blood Pressure,0.04582781456953646,0.03131337046472275,0.015357869834836332,5,0.11030247715317412,-0.018646848014101207
Pre PTH,0.04423841059602651,0.015060948060609116,0.0013902367996802823,5,0.0752491108172447,0.013227710374808327
Pre Hemoglobin,0.029668874172185444,0.013165323062028224,0.0036432928246863797,5,0.056776456321003754,0.002561292023367131
Diastolic Blood pressure (rest),0.029536423841059634,0.013332492700427244,0.0038703235048039154,5,0.056988210585871474,0.0020846370962477948
Antiplatelet (choice=Clopidogrel),0.02874172185430466,0.004151636561233751,5.081841254880154e-05,5,0.03728999891560023,0.020193444793009087
Systolic Blood pressure (rest),0.027947019867549706,0.010692852307896532,0.0021373008140291106,5,0.04996375056043344,0.005930289174665978
BSA,0.02423841059602654,0.01011533853516424,0.0029269339024235344,5,0.04506603244876588,0.003410788743287204
Height (cm),0.02397350993377485,0.017170079530066634,0.01772761438425818,5,0.059326941001900904,-0.011379921134351201
"Types (Exercise=0, Pharm=1)",0.022119205298013322,0.004332563505641334,0.00016795263893803727,5,0.031040013438520232,0.013198397157506413
LA Volume,0.020132450331125852,0.004626291177900114,0.0003122855207287904,5,0.029658047808561454,0.01060685285369025
Pre eGFR,0.01880794701986761,0.011428399129065145,0.01060251932455277,5,0.042339178783874956,-0.004723284744139741
Pre Triglycerides,0.01735099337748345,0.012525138093078664,0.018152571428972735,5,0.043140425826938035,-0.008438439071971136
Urine Output (mL),0.01629139072847685,0.003396259974823347,0.00021409010361317496,5,0.023284336957939467,0.009298444499014234
Diastolic Blood pressure (peak),0.016158940397351017,0.010115338535164255,0.011666461123957701,5,0.03698656225009038,-0.0046686814553883495
History of UTIs,0.014039735099337803,0.006184168227776801,0.0035490869333607766,5,0.026773022954618572,0.0013064472440570338
Ejection Fraction,0.012450331125827807,0.008877631034933896,0.017492024302114228,5,0.03072949612865724,-0.005828833877001624
Days from Pretransplant to Transplant,0.012185430463576164,0.004098476409739265,0.001328874023934371,5,0.020624250038193216,0.003746610888959112
Antiplatelet (choice=None),0.012052980132450375,0.0032913307655070756,0.0006057567700507217,5,0.018829875669654994,0.005276084595245756
Days from Echo to Transplant,0.010728476821192068,0.0027465485236195485,0.00047331384096064596,5,0.0163836581926595,0.005073295449724637
Pericardial Effusion,0.010596026490066279,0.006317478155079093,0.009969578138173976,5,0.02360380132820147,-0.0024117483480689123
"Race (White=0, AA=1, Asian=2, Hispanic Latino=3, Other=4)",0.010463576158940424,0.009578640917491124,0.03550263744077246,5,0.030186130198941424,-0.009258977881060575
"AR severity (severe=0, moderate=1, mild=2, none or trace=3)",0.009933774834437092,0.006069636682060701,0.010793717210807893,5,0.02243124065409422,-0.002563690985220038
Pre Total Cholesterol,0.009536423841059617,0.005897387247918689,0.011219807447626228,5,0.02167922569507816,-0.0026063780129589285
Beta Blocker Medications (choice=None),0.008079470198675564,0.0007254603410664275,7.71703029664673e-06,5,0.009573203067858822,0.006585737329492306
Resting Heart Rate,0.007947019867549688,0.00482126482733811,0.010548416911916804,5,0.01787407078400034,-0.0019800310489009633
Was a Baseline Echo Performed ,0.007947019867549688,0.009152499974228626,0.06207772064184935,5,0.026792143815479445,-0.01089810408038007
