,importance,stddev,p_value,n,p99_high,p99_low
BNP,0.033777777777777775,0.01947774925522412,0.008937863655237873,5,0.07388273270538824,-0.006327177149832691
Systolic Blood Pressure,0.015555555555555545,0.009749960430435717,0.011713735180268412,5,0.03563085884059677,-0.004519747729485678
Which of the following vessel(s) are affected (select all that apply): (choice=LAD),0.01066666666666669,0.003735052514215914,0.0015430875056333898,5,0.018357191417349122,0.002976141915984258
OSA,0.008666666666666666,0.008656689413681093,0.04437760677802011,5,0.02649090981759885,-0.009157576484265517
ACEi or ARB Medications (choice=None),0.007333333333333303,0.0031031644541708618,0.0030762416258120115,5,0.013722791834761851,0.0009438748319047533
Ejection Fraction,0.005777777777777726,0.010610965676722936,0.14515200000000153,5,0.0276259027652815,-0.016070347209726048
Obtuse Marginal 1 (choice=Proximal),0.004222222222222216,0.0009296222517045411,0.00026465552402789555,5,0.006136327287226832,0.0023081171572175993
Height (cm),0.0037777777777777467,0.0018592445034090687,0.005234834644807875,5,0.007605987907786951,-5.043235223145754e-05
Distal LCx Degree of Stenosis %,0.003555555555555556,0.003083208205669278,0.030707986762586088,5,0.009903923865494678,-0.002792812754383566
Was a Stress Echo Performed,0.003555555555555534,0.004402580612479784,0.07262204725886096,5,0.01262052988678207,-0.005509418775671002
Are there notable LHC findings,0.003555555555555534,0.0021372648957412514,0.0102379372104554,5,0.007956213516026886,-0.0008451024049158182
LCx (choice=Distal),0.0033333333333333435,0.0040824829046386185,0.07096372388702683,5,0.011739222059894434,-0.005072555393227746
Financial Concerns,0.0033333333333333214,0.007934920476158711,0.20037064662038806,5,0.01967144426600005,-0.01300477759933341
"Proximal Obtuse Marginal 1 Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0031111111111110866,0.0004969039949999317,7.550570111088963e-05,5,0.004134243304759019,0.002087978917463154
ACEi or ARB Medications (choice=Losartan),0.0031111111111110645,0.0009296222517045809,0.0008525787423640123,5,0.0050252161761157625,0.0011970060461063666
Cause of ESKD (choice=ADPKD),0.0028888888888888966,0.002434322477800777,0.0283836169061619,5,0.007901192516592919,-0.002123414738815127
LAD (choice=Distal),0.002888888888888874,0.0006085806194501581,0.00022297683237036453,5,0.004141964795814805,0.0016358129819629425
History of Prior Transplant,0.002888888888888874,0.003388433484883764,0.06463968260039261,5,0.009865720267392302,-0.004087942489614554
Proximal Obtuse Marginal 1 Degree of Stenosis %,0.002444444444444449,0.0004969039949999316,0.00019408566924697252,5,0.0034675766380923814,0.001421312250796517
Mid RCA Degree of Stenosis %,0.002444444444444449,0.0019876159799998043,0.02568721542218356,5,0.006536973219036339,-0.0016480843301474404
Target HR achieved,0.002444444444444427,0.001825741858350562,0.020093109127713303,5,0.006203672165222402,-0.0013147832763335475
Which of the following vessel(s) are affected (select all that apply): (choice=LCx),0.002444444444444427,0.001448711645600615,0.00977710636015311,5,0.005427361746058932,-0.0005384728571700774
Distal LAD Degree of Stenosis %,0.0024444444444444045,0.0012171612389003772,0.005449849284797236,5,0.004950596258296393,-6.170736940758377e-05
LA min 4ch length,0.0022222222222221697,0.003685138655950451,0.12441045690433708,5,0.009809973648853177,-0.005365529204408838
Diagonal 1 (choice=Mid),0.0019999999999999575,0.0014487116456005768,0.018340994700221262,5,0.004982917301614383,-0.000982917301614468
CCB Medication (choice=lodipine),0.001777777777777767,0.0006085806194502189,0.0014189229633675548,5,0.003030853684703824,0.0005247018708517102
History of Gout,0.001777777777777745,0.0012668615834434754,0.017459853337270022,5,0.004386263287975735,-0.0008307077324202451
Pre Triglycerides,0.0015555555555555323,0.004201704533597574,0.22714700174426028,5,0.010206923263961136,-0.007095812152850071
"Distal LCx Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.001333333333333342,0.00426006433615129,0.2612910381976014,5,0.010104864681815241,-0.007438198015148557
RCA (choice=Mid),0.0013333333333332975,0.0025337231668870067,0.15227939234027588,5,0.006550304353729393,-0.003883637687062798
Was an FFR or IFR collected (choice=neither).21,0.0013333333333332975,0.0004969039949999813,0.0019412685234808475,5,0.002356465526981332,0.0003102011396852629
"Mid RCA degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0011111111111111072,0.0015713484026368021,0.09450182922759155,5,0.004346539190483234,-0.00212431696826102
Diuretic Medications (choice=Furosemide),0.0011111111111110849,0.003042903097250953,0.23002537642198762,5,0.007376490645741076,-0.0051542684235189075
Diastolic Blood pressure (rest),0.0011111111111110849,0.002721655269759059,0.20647718327557713,5,0.006715036928818436,-0.004492814706596267
Diastolic Blood Pressure,0.0011111111111110849,0.0007856742013183912,0.017054711583706368,5,0.002728825150797128,-0.0005066029285749586
PAPi,0.0011111111111110628,0.0,0.5,5,0.0011111111111110628,0.0011111111111110628
Which of the following vessel(s) are affected (select all that apply): (choice=Obtuse marginal 2),0.0011111111111110628,0.0,0.5,5,0.0011111111111110628,0.0011111111111110628
Proximal PDA Degree of Stenosis %,0.0011111111111110628,0.0015713484026367824,0.09450182922759646,5,0.00434653919048315,-0.002124316968261024
Cardiac Index,0.0011111111111110628,0.0,0.5,5,0.0011111111111110628,0.0011111111111110628
Number of Hypoperfused Segments at Rest,0.0008888888888888725,0.0009296222517045277,0.04965034160686551,5,0.002802993953893461,-0.0010252161761157162
Cause of ESKD (choice=Essential Hypertension),0.0008888888888888502,0.0024088314876310013,0.22782976997899668,5,0.00584870621551038,-0.004070928437732679
LVESVI,0.0008888888888888502,0.0012171612389003921,0.08890390417812123,5,0.0033950407027408696,-0.0016172629249631694
