,importance,stddev,p_value,n,p99_high,p99_low
Cause of ESKD (choice=Diabetes I),0.30194805194805197,0.0032467532467532756,1.6039192648799948e-09,5,0.30863316175801575,0.2952629421380882
Pre eGFR,0.04090909090909094,0.03596063208861207,0.031862706939328064,5,0.11495252940829832,-0.03313434759011645
Days from Pretransplant to Transplant,0.03376623376623378,0.0017783199918998652,9.197842843842958e-07,5,0.03742781920854992,0.030104648323917637
Pre Total Cholesterol,0.026298701298701377,0.01480747305323554,0.00826000664184784,5,0.056787492976340455,-0.004190090378937701
CCB Medication (choice=lodipine),0.02435064935064939,0.0155285117448937,0.012375796380237194,5,0.05632406966022642,-0.007622770958927636
Peak Heart rate ,0.01590909090909094,0.016768781180021723,0.050589461995710655,5,0.050436243127941885,-0.01861806130976001
Days from Echo to Transplant,0.015909090909090918,0.015159243545362033,0.03940058391312308,5,0.04712218289200333,-0.015304001073821495
Ejection Fraction,0.013636363636363624,0.017203197132128485,0.07550361117916753,5,0.049057984304868935,-0.021785257032141684
Are there notable LHC findings,0.011363636363636399,0.01807715702217541,0.11627329350449019,5,0.048584752525157704,-0.025857479797884903
Diastolic Blood Pressure,0.010064935064935087,0.005552802394963356,0.007718318585832716,5,0.021498231944049803,-0.0013683618141796267
Exercise Duration,0.007792207792207817,0.011152963660595889,0.09662851104862558,5,0.03075631411971423,-0.015171898535298598
"Stress Echo Time Point (initial transplant evaluation=0, surveillance on the waiting list=1, clinical evaluation=2)",0.007467532467532489,0.013993092168512978,0.14934541131130497,5,0.03627950264758781,-0.021344437712522833
Systolic Blood pressure (peak),0.006818181818181857,0.0024078566516544425,0.0015924063908594236,5,0.011775991944053987,0.0018603716923097265
Beta Blocker Medications (choice=Labetalol),0.006493506493506551,0.003037059567186668,0.004384829729162802,5,0.012746854118968011,0.00024015886804509053
Pre HDL-C,0.0061688311688311796,0.0035193966540062863,0.008628201242706515,5,0.01341531752266124,-0.001077655184998881
Diastolic Blood pressure (peak),0.005194805194805219,0.003326932066870005,0.012544500666313648,5,0.012045004303578386,-0.0016553939139679489
Target HR achieved,0.005194805194805219,0.017233807827389924,0.26862165740151817,5,0.0406794537079386,-0.030289843318328166
"Type (Exercise=0, Pharm=1)",0.004870129870129869,0.002295801237618642,0.004507240666954343,5,0.009597216349731874,0.00014304339052786334
BSA,0.004545454545454586,0.0017783199918999055,0.0023179197089522024,5,0.00820703998777081,0.0008838691031383609
"AS severity (severe=0, moderate=1, mild=2, none or trace=3)",0.004220779220779259,0.01454712130988302,0.27592225074530075,5,0.034173503060411996,-0.025731944618853475
TR Peak Gradient,0.003896103896103931,0.0033663054145012163,0.030406428077259587,5,0.01082737327184726,-0.0030351654796393975
TAPSE (cm),0.003896103896103886,0.0014519921931816573,0.001941268523480154,5,0.006885775890529742,0.0009064319016780296
LA min 2ch area,0.003571428571428603,0.0013582143287890957,0.0020905360678201506,5,0.006368010646922347,0.0007748464959348592
