,importance,stddev,p_value,n,p99_high,p99_low
Anticoagulation Medication (choice=Warfarin),0.13766233766233765,0.002903984386363364,2.3748717271348628e-08,5,0.14364168165118946,0.13168299367348585
Pre Triglycerides,0.0753246753246753,0.004233248315066646,1.1920663657621e-06,5,0.08404099211510711,0.06660835853424348
Was a Nuclear Stress Test Performed,0.045454545454545414,0.005133567630143483,1.9195482549941305e-05,5,0.05602463215845578,0.03488445875063505
Anticoagulation Medication (choice=None),0.031168831168831134,0.0029039843863633394,8.938535758670189e-06,5,0.0371481751576829,0.025189487179979368
Aspirin ,0.025324675324675295,0.013268062819287368,0.00648552903715626,5,0.05264380005370454,-0.0019944494043539485
Days from Pretransplant LHC to Transplant,0.025324675324675295,0.011570473818964581,0.0040389304704019705,5,0.049148440838866485,0.001500909810484105
"RV Function (severely reduced=0, mildly reduced=2, normal=3)",0.02077922077922075,0.007819217258956051,0.0020112592593736064,5,0.0368790971884788,0.004679344369962705
Pre Total Cholesterol,0.02012987012987011,0.004233248315066646,0.0002214766362756637,5,0.028846186920301924,0.011413553339438293
Pre Hemoglobin,0.01753246753246753,0.003701868263308881,0.00022496173779955399,5,0.025154665451877292,0.00991026961305777
"AR severity (severe=0, moderate=1, mild=2, none or trace=3)",0.016883116883116854,0.006245254565477695,0.0018889345924129278,5,0.029742182352026674,0.004024051414207034
"TR Severity (severe=0, moderate=1, mild=2, none or trace=3)",0.015584415584415567,0.012658174473777846,0.02560846041222773,5,0.04164777178048795,-0.01047894061165682
LVPWd,0.014935064935064912,0.005432857315156312,0.001776147301068352,5,0.02612139323703974,0.003748736633090083
Cause of ESKD (choice=Diabetes II),0.014935064935064902,0.008466496630133288,0.008448136313506553,5,0.03236769851592852,-0.002497568645798722
Financial Concerns,0.01428571428571428,0.0017783199918998754,2.8228831104339715e-05,5,0.01794729972803044,0.010624128843398117
Number of Hypoperfused Segments at Rest,0.012987012987012991,0.0,0.5,5,0.012987012987012991,0.012987012987012991
TAPSE (cm),0.010389610389610383,0.0035566399837997963,0.0014189229633672516,5,0.017712781274242802,0.0030664395049779638
Systolic Blood Pressure,0.009740259740259738,0.005133567630143457,0.006617799781841279,5,0.020310346444170048,-0.0008298269636505713
"Types (Exercise=0, Pharm=1)",0.009740259740259716,0.0,0.5,5,0.009740259740259716,0.009740259740259716
History of Kidney Biopsy,0.009740259740259716,0.007614311298414643,0.022955756187657446,5,0.02541823194466166,-0.005937712464142229
