,importance,stddev,p_value,n,p99_high,p99_low
Cause of ESKD (choice=Diabetes I),0.03190789473684206,0.008190723419729436,0.0004782475804859139,5,0.04877270746589332,0.015043082007790795
Age,0.023684210526315773,0.002494366922385365,1.4547597581311164e-05,5,0.028820146495321882,0.018548274557309664
Days from Pretransplant to Transplant,0.01875,0.004288948950791249,0.00030681222524249187,5,0.027581005169253374,0.009918994830746626
Pre PTH,0.012499999999999945,0.008514591516805765,0.015211708324410957,5,0.030031661617264175,-0.005031661617264285
Pericardial Effusion,0.011842105263157899,0.005380074747959269,0.003959537141198341,5,0.02291975352974141,0.0007644569965743874
LV Mass,0.008881578947368384,0.007035937380331401,0.02385037837337879,5,0.023368671260459856,-0.0056055133657230884
BNP,0.005921052631578938,0.004443834238850757,0.020381913442855285,5,0.015070968749689018,-0.003228863486531142
LAD (choice=Distal),0.0059210526315789155,0.003410598906797331,0.008905662738978665,5,0.012943522920161066,-0.0011014176570032352
Diuretic Medications (choice=None),0.005263157894736792,0.004563959514970912,0.030707986762585796,5,0.01466041361668603,-0.004134097827212447
Diastolic Blood pressure (rest),0.0049342105263157745,0.005201114572645325,0.050595753609147226,5,0.015643377318435393,-0.005774956265803843
"BP response to exercise (hypotension=0, normal=1, hypertension=2, flat=3)",0.004934210526315752,0.0026005572863227015,0.006617799781841698,5,0.010288793922375642,-0.0004203728697441374
RA area,0.004934210526315752,0.0023260091486399267,0.004507240666954368,5,0.009723495512228283,0.00014492554040322105
CCB Medication (choice=None),0.0036184210526315264,0.006721321296612705,0.14751878306800537,5,0.017457714500889815,-0.010220872395626761
LA min 2ch area,0.0036184210526315264,0.002942194707236593,0.02568721542218576,5,0.009676440620284079,-0.0024395985150210257
Distal LAD Degree of Stenosis %,0.0032894736842104867,0.0011630045743199733,0.0015991010761676934,5,0.005684116177166773,0.0008948311912542004
Antiplatelet (choice=Clopidogrel),0.0032894736842104867,0.0050694194103363295,0.11020726808075931,5,0.0137274783169153,-0.007148530948494328
Beta Blocker Medications (choice=Carvedilol),0.0032894736842104646,0.0032894736842105227,0.04450467125004477,5,0.01006254546535789,-0.0034835980969369603
Systemic Vascular Resistance,0.002631578947368407,0.0058843894144731,0.1869504831500295,5,0.014747618082673334,-0.00948446018793652
LA min 2ch length,0.002631578947368385,0.0009008594695808909,0.001418922963367446,5,0.004486461046436509,0.0007766968483002609
Antiplatelet (choice=None),0.002631578947368385,0.0037864685635596255,0.09756895879302796,5,0.010427970054294841,-0.005164812159558072
LCx (choice=Distal),0.001973684210526283,0.023589219229351678,0.43034843884733787,5,0.05054421264141944,-0.04659684422036688
Pre eGFR,0.00197368421052625,0.019124265597037674,0.4144084215556316,5,0.04135081140026747,-0.03740344297921497
Proximal PDA Degree of Stenosis %,0.0016447368421052433,0.0036777433840456623,0.18695048315002946,5,0.00921726130167077,-0.005927787617460284
Days Between Transplant to Nuc Stress Test,0.0016447368421052433,0.0026005572863227015,0.11509982054025326,5,0.006999320238165132,-0.003709846553954646
Which of the following vessel(s) are affected (select all that apply): (choice=Diagonal 2),0.001644736842105221,0.0011630045743199733,0.01705471158370586,5,0.004039379335061507,-0.0007499056508510652
LVESVI,0.001644736842105221,0.0020143830121571856,0.0709637238870291,5,0.00579237930586886,-0.0025029056216584176
LA min 4ch area,0.0016447368421051989,0.0,0.5,5,0.0016447368421051989,0.0016447368421051989
Proximal Obtuse Marginal 1 Degree of Stenosis %,0.0013157894736842036,0.00294219470723655,0.1869504831500295,5,0.007373809041336667,-0.00474223009396826
Anticoagulation Medication (choice=None),0.0013157894736841812,0.002144474475395571,0.12099076528401138,5,0.005731292058310758,-0.003099713110942396
Anticoagulation Medication (choice=Warfarin),0.0013157894736841812,0.0035657045047169113,0.22782976997899038,5,0.008657624332169933,-0.00602604538480157
"Proximal PDA Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0013157894736841812,0.004851276711760723,0.2884663986521372,5,0.011304635274969317,-0.008673056327600953
Was an FFR or IFR collected (choice=FFR).1,0.001315789473684159,0.0007355486768091126,0.008065044950046266,5,0.0028302943655972236,-0.00019871541822890542
LA max 2ch area,0.0009868421052631414,0.0014710973536182686,0.10400000000000119,5,0.00401585188908936,-0.0020421676785630774
