,importance,stddev,p_value,n,p99_high,p99_low
BNP,0.05608465608465609,0.07254542823408604,0.07946224372698944,5,0.2054566955030136,-0.0932873833337014
Which of the following vessel(s) are affected (select all that apply): (choice=RCA),0.012698412698412698,0.00457902682716887,0.001719873311794198,5,0.022126692224429916,0.0032701331723954813
Days Between Transplant to Nuc Stress Test,0.012547241118669672,0.027558251432960312,0.1831045408168309,5,0.06929006171464785,-0.04419557947730851
Days from Pretransplant to Transplant,0.010733182161753563,0.0024140165415981207,0.0002874019962011133,5,0.015703675586158452,0.005762688737348673
Was an FFR or IFR collected (choice=neither).21,0.008163265306122458,0.006444769084593299,0.023617013983500287,5,0.021433133927475014,-0.005106603315230095
History of drug treated hypotension,0.008012093726379477,0.006337497752457887,0.02374666497358945,5,0.021061089192217844,-0.005036901739458892
Was an FFR or IFR collected (choice=IFR).1,0.005744520030234313,0.006624006742314922,0.06224734674904371,5,0.019383441466163387,-0.007894401405694761
Hydralazine  ,0.005291005291005302,0.0007558578987150733,4.864777969704198e-05,5,0.006847327151526017,0.003734683430484587
Was an FFR or IFR collected (choice=neither).6,0.004535147392290262,0.003504768894745149,0.02220425111065292,5,0.011751514987624521,-0.002681220203043999
Pre PTH,0.004535147392290195,0.0032510677502051075,0.017776166789871362,5,0.011229140824494051,-0.0021588460399136616
"Echo Timepoint (initial transplant evaluation=0, surveillance on the waiting list=1, clinical evaluation=2)",0.004081632653061207,0.0006760598571427722,8.710929364782937e-05,5,0.005473649243058411,0.002689616063064003
Systolic Blood pressure (rest),0.003930461073318204,0.006377935936425948,0.12013460973966855,5,0.01706271931886191,-0.009201797172225502
TR Peak Gradient,0.0037792894935751776,0.0034637760354919726,0.03561380249005468,5,0.010911252225125621,-0.0033526732379752663
Which of the following vessel(s) are affected (select all that apply): (choice=LCx),0.003628117913832174,0.0047625046113449225,0.08184533633489945,5,0.013434180733400358,-0.006177944905736009
Systolic Blood Pressure Pre Transplant,0.003476946334089215,0.012241631470845449,0.2799376594142685,5,0.028682634729887673,-0.02172874206170924
Was an FFR or IFR collected (choice=neither).10,0.003476946334089215,0.0024840025283681434,0.01759426477950362,5,0.008591541872562716,-0.0016376492043842857
History of UTIs,0.0033257747543461447,0.005518280347224151,0.12452207613479264,5,0.014687990260020429,-0.00803644075132814
Cause of ESKD (choice=Other),0.0028722600151171564,0.001121118440981958,0.0022985047611579134,5,0.005180658380602583,0.0005638616496317301
Diuretic Medications (choice=None),0.002872260015117134,0.0013521197142856004,0.004485451249299299,5,0.005656293195111657,8.82268351226111e-05
Was an FFR or IFR collected (choice=neither).13,0.0027210884353741304,0.0017401155605776735,0.01248615163377193,5,0.006304010425556523,-0.000861833554808262
History of Prior Transplant,0.0027210884353741083,0.002956554378776695,0.05435047566246302,5,0.008808674765199483,-0.003366497894451266
Beta Blocker Medications (choice=Carvedilol),0.0027210884353741083,0.0028583024038078705,0.05017588609651724,5,0.008606372590752065,-0.003164195720003848
"What type of transplant (None=0, Kidney=1, Heart=2, Kidney/Pancreas=3, Kidney/Liver=4, Liver=5, Corneal=6)",0.002569916855631171,0.0018971882687847694,0.01941005821765906,5,0.006476253722987513,-0.0013364200117251708
Pre eGFR,0.0024187452758881456,0.0030888611854425815,0.07742106035144959,5,0.008778753149312982,-0.003941262597536692
BMI,0.0024187452758881235,0.001453921697783217,0.010237937210456537,5,0.005412390146957179,-0.0005748995951809321
"Proximal LAD Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.002116402116402116,0.005766358616102977,0.22895655849385854,5,0.013989414206503962,-0.009756609973699728
History of Gout,0.002116402116402116,0.0009855181262589281,0.004317896303776145,5,0.004145597559677302,8.720667312692989e-05
Diagonal 1 (choice=Unspecified),0.002116402116402116,0.0012420012641840717,0.009467489354681538,5,0.004673699885638866,-0.0004408956528346342
Resting Heart Rate,0.002116402116402094,0.0016386608759394326,0.022326724884419145,5,0.0054904275086615885,-0.0012576232758574005
Was an FFR or IFR collected (choice=FFR),0.0019652305366591126,0.0008618106009819902,0.0034936873326602198,5,0.00373971047556938,0.00019075059774884516
Age,0.001814058956916087,0.0013730840608151794,0.020897340228022643,5,0.004641258016173075,-0.0010131401023409006
FFR.2,0.0018140589569160426,0.0006760598571427722,0.001941268523480256,5,0.0032060755469132465,0.0004220423669188389
Proximal RCA Degree of Stenosis %,0.0016628873771731057,0.0022926305197435,0.0900759137789079,5,0.006383445304846216,-0.003057670550500004
Are there notable LHC findings,0.0016628873771730613,0.0009855181262588897,0.009777106360152428,5,0.003692082820448168,-0.0003663080661020456
"Type (Exercise=0, Pharm=1)",0.001511715797430102,0.0045977041045337985,0.2514942479749235,5,0.010978452095689114,-0.007955020500828911
Peak Heart rate ,0.00151171579743008,0.0019270670875256113,0.07713643553965809,5,0.005479573565542977,-0.0024561419706828173
LA max 2ch area,0.0015117157974300576,0.0013091842838767092,0.030599409818758028,5,0.00420734433278196,-0.0011839127379218452
LV Mass,0.0015117157974300355,0.0007558578987150177,0.005528246696725034,5,0.003068037657950636,-4.460606309056509e-05
Was there intervention,0.0015117157974300355,0.002449259523207808,0.1198319980443094,5,0.006554775008079043,-0.003531343413218972
Was a Pre-Transplant Left Heart Cath Performed,0.0013605442176870541,0.002097420548074283,0.11026867465232615,5,0.00567916211560471,-0.0029580736802306013
Pre Total Cholesterol,0.001360544217687032,0.0011211184409819243,0.02666913052284452,5,0.0036689425831723894,-0.0009478541477983254
Systemic Vascular Resistance,0.001360544217687032,0.0003380299285713861,0.00042191625880063873,5,0.002056552512685634,0.0006645359226884302
Anticoagulation Medication (choice=Warfarin),0.001360544217687032,0.0006323960895948973,0.004290459360962386,5,0.0026626565068057595,5.843192856830456e-05
"Electrocardiogr (ECG) Changes (None=0, ST Depression=1, ST Elevation=2)",0.001360544217687032,0.0013521197142855445,0.043822588251697304,5,0.00414457739768144,-0.0014234889623073754
Which of the following vessel(s) are affected (select all that apply): (choice=LAD),0.001360544217687032,0.0008280008427893407,0.010655820564378356,5,0.0030654093971781158,-0.0003443209618040517
Was an FFR or IFR collected (choice=neither).30,0.0012093726379440283,0.00041400042139467033,0.0014189229633672243,5,0.00206180522768957,0.00035694004819848647
METs,0.0012093726379440283,0.0006760598571427722,0.008065044950046266,5,0.002601389227941232,-0.00018264395205317536
"Distal RCA Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0010582010582010693,0.0023662094999998026,0.1869504831500295,5,0.005930259123191487,-0.0038138570067893485
Which of the following vessel(s) are affected (select all that apply): (choice=Obtuse marginal 1),0.001058201058201047,0.003569378368289519,0.27181626203769516,5,0.008407600452560988,-0.006291198336158895
LA min 4ch length,0.001058201058201047,0.0038018976084532997,0.283708261978775,5,0.008886360781815641,-0.006769958665413548
Which of the following vessel(s) are affected (select all that apply): (choice=Diagonal 1),0.0010582010582010249,0.0008618106009819366,0.02580297890558736,5,0.0028326809971111824,-0.0007162788807091325
LA max 2ch length,0.0010582010582010249,0.0006760598571427722,0.012448081730111369,5,0.002450217648198229,-0.0003338155317961788
LAD (choice=Mid),0.0009070294784580657,0.002946876597069985,0.26456665019092585,5,0.006974689121988167,-0.005160630165072035
Pre LDL-C,0.0009070294784580435,0.0008280008427893862,0.035241998455112805,5,0.002611894657949221,-0.0007978357010331339
"Exercise Capacity (Very Poor=0, Poor=1, Below Average=2, Average=3, Above Average=4, Good=5)",0.0009070294784580435,0.000985518126258911,0.054350475662463565,5,0.0029362249217331944,-0.0011221659648171076
Distal LCx Degree of Stenosis %,0.0009070294784580435,0.002097420548074299,0.1941544861378317,5,0.005225647376375732,-0.003411588419459645
RCA (choice=Mid),0.0009070294784580435,0.0008280008427893862,0.035241998455112805,5,0.002611894657949221,-0.0007978357010331339
Was an FFR or IFR collected (choice=neither).22,0.0009070294784580213,0.0008280008427893407,0.035241998455109974,5,0.002611894657949105,-0.0007978357010330624
Was an FFR or IFR collected (choice=neither).5,0.0009070294784580213,0.0009855181262588728,0.05435047566246177,5,0.002936224921733094,-0.0011221659648170514
TAPSE (cm),0.0009070294784580213,0.0009855181262588726,0.05435047566246177,5,0.002936224921733093,-0.0011221659648170505
"Race (White=0, AA=1, Asian=2, Hispanic Latino=3, Other=4)",0.0007558578987150843,0.0016901496428569803,0.1869504831500169,5,0.004235899373708196,-0.0027241835762780277
Family history of CKD,0.0007558578987150622,0.004566532869839249,0.3650298893581994,5,0.010158412193905751,-0.008646696396475625
IVSd (cm),0.0007558578987150622,0.003023431594860168,0.3029834343917537,5,0.006981145340797665,-0.005469429543367541
CCB Medication (choice=lodipine),0.0007558578987150177,0.0011951162736841571,0.11509982054024936,5,0.00321661882449301,-0.0017049030270629745
Beta Blocker Medications (choice=Labetalol),0.0007558578987150177,0.0,0.5,5,0.0007558578987150177,0.0007558578987150177
Diagonal 2 (choice=Unspecified),0.0007558578987150177,0.0005344722457948037,0.017054711583704817,5,0.0018563436399979987,-0.0003446278425679632
Beta Blocker Medications (choice=Other),0.0007558578987150177,0.0005344722457948037,0.017054711583704817,5,0.0018563436399979987,-0.0003446278425679632
Beta Blocker Medications (choice=Atenolol),0.0007558578987150177,0.0,0.5,5,0.0007558578987150177,0.0007558578987150177
Diastolic Blood pressure (rest),0.0006046863189720364,0.002097420548074283,0.2771289973584659,5,0.004923304216889692,-0.003713931578945619
ACEi or ARB Medications (choice=Olmesartan),0.0006046863189720142,0.0003380299285713861,0.008065044950046266,5,0.001300694613970616,-9.132197602658768e-05
Obtuse Marginal 1 (choice=Unspecified),0.0006046863189720142,0.0003380299285713861,0.008065044950046266,5,0.001300694613970616,-9.132197602658768e-05
