,importance,stddev,p_value,n,p99_high,p99_low
Days Between Transplant to Nuc Stress Test,0.10806100217864918,0.009816017713349733,8.081343351367111e-06,5,0.12827231832221903,0.08784968603507932
Nitrates,0.04880174291938992,0.024773454870936507,0.0058234559906693755,5,0.09981062890418224,-0.0022071430654024005
BNP,0.02701525054466227,0.014824423386670154,0.007580934047844885,5,0.05753894319312172,-0.0035084421037971797
"Test Time Point (initial transplant evaluation=0, surveillance on the waiting list=1, clinical evaluation=2)",0.013071895424836555,0.0026682894801560034,0.00019724611626167123,5,0.01856594034415762,0.007577850505515492
Days Between Transplant and Stress Echo,0.0069716775599128365,0.0032314590357714994,0.004248568855841237,5,0.013625296378076659,0.00031805874174901504
Proximal LAD Degree of Stenosis %,0.006535947712418255,0.0065359477124182965,0.04450467125004354,5,0.01999355438868504,-0.006921658963848531
HBA1C,0.005228758169934622,0.017401939475133618,0.26923810099371775,5,0.0410595920695986,-0.030602075729729353
"Proximal LAD Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0043572984749455255,0.0037735311711739796,0.030599409818755363,5,0.012127051312136171,-0.0034124543622451207
Diastolic Blood Pressure,0.004357298474945504,0.002668289480155958,0.010871489232618433,5,0.009851343394266472,-0.0011367464443754645
Which of the following vessel(s) are affected (select all that apply): (choice=Diagonal 2),0.003921568627450989,0.0028406110698050626,0.018340994700220152,5,0.009770426081596943,-0.0019272888266949652
BSA,0.0034858387799564074,0.0024840423204774043,0.017459853337269387,5,0.008600516250932862,-0.0016288386910200472
LAD (choice=Distal),0.002614379084967311,0.00182278872883238,0.016338961668400882,5,0.0063675262712507615,-0.00113876810131614
Peak Heart rate ,0.002614379084967289,0.0023865906645104988,0.03524199845510994,5,0.00752840224938286,-0.0022996440794482826
"Proximal LCx Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.002614379084967289,0.0018227887288323867,0.01633896166840148,5,0.006367526271250753,-0.0011387681013161751
Pre Triglycerides,0.002178649237472774,0.005554487487573827,0.21498668974427337,5,0.013615415745562902,-0.009258117270617355
Resting Heart Rate,0.002178649237472752,0.003081075299287771,0.09450182922758786,5,0.008522625863692453,-0.0041653273887469495
History of UTIs,0.002178649237472752,0.0021786492374727406,0.044504671250042246,5,0.006664518129561629,-0.0023072196546161253
Was an FFR or IFR collected (choice=neither).11,0.0017429193899782148,0.0018227887288323934,0.04965034160686232,5,0.005496066576261693,-0.0020102277963052638
Proximal LCx Degree of Stenosis %,0.0017429193899781924,0.0023865906645104988,0.08890390417811055,5,0.006656942554393764,-0.003171103774437379
Was an FFR or IFR collected (choice=neither).2,0.0013071895424836776,0.00119329533225528,0.035241998455109974,5,0.003764201124691526,-0.001149822039724171
Which of the following vessel(s) are affected (select all that apply): (choice=LCx),0.0013071895424836776,0.00119329533225528,0.035241998455109974,5,0.003764201124691526,-0.001149822039724171
Diagonal 1 (choice=Mid),0.0013071895424836776,0.00119329533225528,0.035241998455109974,5,0.003764201124691526,-0.001149822039724171
Obtuse Marginal 2 (choice=Unspecified),0.0013071895424836776,0.00119329533225528,0.035241998455109974,5,0.003764201124691526,-0.001149822039724171
"RV Function (severely reduced=0, mildly reduced=2, normal=3)",0.0013071895424836555,0.0019486431176468583,0.10399999999999894,5,0.0053194726548286275,-0.0027050935698613165
Diastolic Blood pressure (peak),0.0013071895424836555,0.0066439872252622816,0.34135301252049566,5,0.014987251068960965,-0.012372871983993654
LAD (choice=Mid),0.0013071895424836555,0.0019486431176468583,0.10399999999999894,5,0.0053194726548286275,-0.0027050935698613165
Was a Pre-Transplant Left Heart Cath Performed,0.0008714596949891184,0.00119329533225528,0.08890390417811063,5,0.003328471277196967,-0.00158555188721873
"Mid LCx Degree of Stenosis % (0 to less than 29%=0, 30%-69%=1, 70% or greater=2)",0.0008714596949891184,0.00119329533225528,0.08890390417811063,5,0.003328471277196967,-0.00158555188721873
Diagonal 1 (choice=Distal),0.0008714596949891184,0.00119329533225528,0.08890390417811063,5,0.003328471277196967,-0.00158555188721873
Was an FFR or IFR collected (choice=neither).9,0.0008714596949891184,0.00119329533225528,0.08890390417811063,5,0.003328471277196967,-0.00158555188721873
Was an FFR or IFR collected (choice=IFR).1,0.0008714596949891184,0.00119329533225528,0.08890390417811063,5,0.003328471277196967,-0.00158555188721873
Target HR achieved,0.0008714596949891184,0.00119329533225528,0.08890390417811063,5,0.003328471277196967,-0.00158555188721873
Was an FFR or IFR collected (choice=neither).26,0.0008714596949891184,0.00119329533225528,0.08890390417811063,5,0.003328471277196967,-0.00158555188721873
Beta Blocker Medications (choice=None),0.0008714596949890962,0.0024840423204774194,0.23831033363642265,5,0.005986137165965582,-0.0042432177759873894
History of drug treated hypotension,0.0008714596949890741,0.006462918071543062,0.38902477445001443,5,0.01417869733131685,-0.0124357779413387
"Echo Timepoint (initial transplant evaluation=0, surveillance on the waiting list=1, clinical evaluation=2)",0.0004357298474945592,0.0009743215588234507,0.18695048315002946,5,0.0024418714036670897,-0.0015704117086779714
"TR Severity (severe=0, moderate=1, mild=2, none or trace=3)",0.0004357298474945592,0.0009743215588234507,0.18695048315002946,5,0.0024418714036670897,-0.0015704117086779714
