,model,score_test,accuracy,roc_auc,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,RandomForestGini_BAG_L1,0.7281187122736419,0.9102564102564102,0.7281187122736419,0.6558434854429073,0.051999807357788086,0.04200005531311035,0.2830057144165039,0.051999807357788086,0.04200005531311035,0.2830057144165039,1,True,5
1,CatBoost_BAG_L1,0.727364185110664,0.9102564102564102,0.727364185110664,0.7620276688003303,0.08799934387207031,0.03799891471862793,9.541681051254272,0.08799934387207031,0.03799891471862793,9.541681051254272,1,True,7
2,RandomForestEntr_BAG_L1,0.7235915492957747,0.9102564102564102,0.7235915492957747,0.6177472640925046,0.04700040817260742,0.046999454498291016,0.27499985694885254,0.04700040817260742,0.046999454498291016,0.27499985694885254,1,True,6
3,NeuralNetTorch_BAG_L1,0.7077464788732395,0.9102564102564102,0.7077464788732395,0.5751600247780302,0.256547212600708,0.16199827194213867,2.48758602142334,0.256547212600708,0.16199827194213867,2.48758602142334,1,True,11
4,ExtraTreesGini_BAG_L1,0.7072434607645876,0.9102564102564102,0.7072434607645876,0.5242618211852158,0.0348963737487793,0.042999982833862305,0.29277777671813965,0.0348963737487793,0.042999982833862305,0.29277777671813965,1,True,8
5,LightGBMLarge_BAG_L1,0.6946680080482899,0.9102564102564102,0.6946680080482899,0.6813442081354533,0.01699995994567871,0.01899862289428711,1.3179991245269775,0.01699995994567871,0.01899862289428711,1.3179991245269775,1,True,12
6,LightGBMXT_BAG_L1,0.6936619718309859,0.9102564102564102,0.6936619718309859,0.7938261408218046,0.024999618530273438,0.023000001907348633,0.40399813652038574,0.024999618530273438,0.023000001907348633,0.40399813652038574,1,True,3
7,ExtraTreesEntr_BAG_L1,0.6785714285714285,0.9102564102564102,0.6785714285714285,0.5762956844930829,0.047010183334350586,0.048000335693359375,0.3020811080932617,0.047010183334350586,0.048000335693359375,0.3020811080932617,1,True,9
8,WeightedEnsemble_L2,0.6443661971830985,0.9102564102564102,0.6443661971830985,0.8092091678711543,0.06199979782104492,0.06299781799316406,2.3039965629577637,0.0010001659393310547,0.0,0.14799976348876953,2,True,13
9,LightGBM_BAG_L1,0.6212273641851107,0.9102564102564102,0.6212273641851107,0.7999690274623168,0.01900005340576172,0.02099919319152832,0.43399953842163086,0.01900005340576172,0.02099919319152832,0.43399953842163086,1,True,4
10,KNeighborsDist_BAG_L1,0.6151911468812877,0.9038461538461539,0.6151911468812877,0.6485133181912038,0.022999286651611328,0.013998985290527344,0.018001317977905273,0.022999286651611328,0.013998985290527344,0.018001317977905273,1,True,2
11,XGBoost_BAG_L1,0.6091549295774648,0.9038461538461539,0.6091549295774648,0.7143815816642578,0.11199951171875,0.02299976348876953,1.0619981288909912,0.11199951171875,0.02299976348876953,1.0619981288909912,1,True,10
12,KNeighborsUnif_BAG_L1,0.5980885311871227,0.9038461538461539,0.5980885311871227,0.6460871360726822,0.02400040626525879,0.08299875259399414,0.009000301361083984,0.02400040626525879,0.08299875259399414,0.009000301361083984,1,True,1
